Timestamp,['1cbacc0f-b13a5edb 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt B-N']
2017-06-26T00:00:00-06:00,122.22086563110352 V
2017-06-27T00:00:00-06:00,122.12157201766968 V
2017-06-28T00:00:00-06:00,122.01371932029724 V
2017-06-29T00:00:00-06:00,122.16051371892293 V
2017-06-30T00:00:00-06:00,122.29257321357727 V
2017-07-01T00:00:00-06:00,122.137277841568 V
2017-07-02T00:00:00-06:00,122.1731375058492 V
2017-07-03T00:00:00-06:00,122.06399305661519 V
2017-07-04T00:00:00-06:00,122.11828406651814 V
2017-07-05T00:00:00-06:00,122.12558682759602 V
2017-07-06T00:00:00-06:00,122.09065588315327 V
2017-07-07T00:00:00-06:00,122.20001713434856 V
2017-07-08T00:00:00-06:00,122.21771375338237 V
2017-07-09T00:00:00-06:00,122.08501211802165 V
2017-07-10T00:00:00-06:00,122.078515847524 V
2017-07-11T00:00:00-06:00,122.13690646489461 V
2017-07-12T00:00:00-06:00,122.14592973391215 V
2017-07-13T00:00:00-06:00,122.11764907836914 V
2017-07-14T00:00:00-06:00,122.066654920578 V
2017-07-15T00:00:00-06:00,122.08879391352336 V
2017-07-16T00:00:00-06:00,122.10257538159688 V
2017-07-17T00:00:00-06:00,122.07317185401917 V
2017-07-18T00:00:00-06:00,122.18859791755676 V
2017-07-19T00:00:00-06:00,122.07630912462871 V
2017-07-20T00:00:00-06:00,122.05910897254944 V
2017-07-21T00:00:00-06:00,122.11067732175191 V
2017-07-22T00:00:00-06:00,122.09716598192851 V
2017-07-23T00:00:00-06:00,122.16767048835754 V
2017-07-24T00:00:00-06:00,122.09803382555644 V
2017-07-25T00:00:00-06:00,122.12032540639241 V
2017-07-26T00:00:00-06:00,122.02543338139851 V
2017-07-27T00:00:00-06:00,122.10334459940593 V
2017-07-28T00:00:00-06:00,122.09490545590718 V
2017-07-29T00:00:00-06:00,122.06795946756999 V
2017-07-30T00:00:00-06:00,122.14468479156494 V
2017-07-31T00:00:00-06:00,122.07879797617595 V
2017-08-01T00:00:00-06:00,122.08343450228374 V
2017-08-02T00:00:00-06:00,122.00116904576619 V
2017-08-03T00:00:00-06:00,122.15280071894328 V
2017-08-04T00:00:00-06:00,122.03654194926168 V
2017-08-05T00:00:00-06:00,122.12242658933003 V
2017-08-06T00:00:00-06:00,122.19172286987305 V
2017-08-07T00:00:00-06:00,122.05276298522949 V
2017-08-08T00:00:00-06:00,122.00576027234395 V
2017-08-09T00:00:00-06:00,122.0787848631541 V
2017-08-10T00:00:00-06:00,122.12139860112616 V
2017-08-11T00:00:00-06:00,122.11627093950908 V
2017-08-12T00:00:00-06:00,122.20342373847961 V
2017-08-13T00:00:00-06:00,122.16328263282776 V
2017-08-14T00:00:00-06:00,122.11803086598714 V
2017-08-15T00:00:00-06:00,122.09681955973308 V
2017-08-16T00:00:00-06:00,122.10476080576579 V
2017-08-17T00:00:00-06:00,122.1415303548177 V
2017-08-18T00:00:00-06:00,122.13162509600322 V
2017-08-19T00:00:00-06:00,122.10080901781718 V
2017-08-20T00:00:00-06:00,122.15437904993694 V
2017-08-21T00:00:00-06:00,122.11702831586202 V
2017-08-22T00:00:00-06:00,122.16407410303752 V
2017-08-23T00:00:00-06:00,122.1516006787618 V
2017-08-24T00:00:00-06:00,122.16001931826274 V
2017-08-25T00:00:00-06:00,122.06152296066284 V
2017-08-26T00:00:00-06:00,122.07857131958008 V
2017-08-27T00:00:00-06:00,122.06232984860738 V
2017-08-28T00:00:00-06:00,122.1321091859237 V
2017-08-29T00:00:00-06:00,122.12491008799563 V
2017-08-30T00:00:00-06:00,122.07436386744182 V
2017-08-31T00:00:00-06:00,122.10507170359294 V
2017-09-01T00:00:00-06:00,122.1404017607371 V
2017-09-02T00:00:00-06:00,122.09357150395711 V
2017-09-03T00:00:00-06:00,122.22271203994751 V
2017-09-04T00:00:00-06:00,122.00096877415974 V
2017-09-05T00:00:00-06:00,122.16729561487834 V
2017-09-06T00:00:00-06:00,122.12089006106059 V
2017-09-07T00:00:00-06:00,122.02860355377197 V
2017-09-08T00:00:00-06:00,122.1706740196715 V
2017-09-09T00:00:00-06:00,122.20572113990784 V
2017-09-10T00:00:00-06:00,122.1807525952657 V
2017-09-11T00:00:00-06:00,122.05324014027913 V
2017-09-12T00:00:00-06:00,122.10886772473653 V
2017-09-13T00:00:00-06:00,122.1460599899292 V
2017-09-14T00:00:00-06:00,122.2400107383728 V
2017-09-15T00:00:00-06:00,122.25752806663513 V
2017-09-16T00:00:00-06:00,122.30485773086548 V
2017-09-17T00:00:00-06:00,122.18864425023396 V
2017-09-18T00:00:00-06:00,122.18150583902995 V
2017-09-19T00:00:00-06:00,122.13373041152954 V
2017-09-20T00:00:00-06:00,122.2061201731364 V
2017-09-21T00:00:00-06:00,122.25299501419067 V
2017-09-22T00:00:00-06:00,122.38240639368694 V
2017-09-23T00:00:00-06:00,122.05295427640279 V
2017-09-24T00:00:00-06:00,122.22809028625488 V
2017-09-25T00:00:00-06:00,122.23422487576802 V
2017-09-26T00:00:00-06:00,122.15553363164265 V
2017-09-27T00:00:00-06:00,122.23240049680074 V
2017-09-28T00:00:00-06:00,122.22487513224284 V
2017-09-29T00:00:00-06:00,122.20856316884358 V
2017-09-30T00:00:00-06:00,122.04225413004558 V
2017-10-01T00:00:00-06:00,122.0002776781718 V
2017-10-02T00:00:00-06:00,122.17565846443176 V
2017-10-03T00:00:00-06:00,121.99685883522034 V
2017-10-04T00:00:00-06:00,122.226735273997 V
2017-10-05T00:00:00-06:00,122.14866630236308 V
2017-10-06T00:00:00-06:00,122.13044571876526 V
2017-10-07T00:00:00-06:00,122.30075581868489 V
2017-10-08T00:00:00-06:00,122.25980273882548 V
2017-10-09T00:00:00-06:00,122.22835604349773 V
2017-10-10T00:00:00-06:00,122.10184892018636 V
2017-10-11T00:00:00-06:00,122.14953398704529 V
2017-10-12T00:00:00-06:00,122.23527995745341 V
2017-10-13T00:00:00-06:00,122.17614420255025 V
2017-10-14T00:00:00-06:00,122.1633231639862 V
2017-10-15T00:00:00-06:00,122.14107950528462 V
2017-10-16T00:00:00-06:00,122.21870152155559 V
2017-10-17T00:00:00-06:00,122.09511248270671 V
2017-10-18T00:00:00-06:00,122.2720233599345 V
2017-10-19T00:00:00-06:00,122.33443133036296 V
2017-10-20T00:00:00-06:00,122.12777026494344 V
2017-10-21T00:00:00-06:00,122.22396643956502 V
2017-10-22T00:00:00-06:00,122.13526320457458 V
2017-10-23T00:00:00-06:00,122.28684465090434 V
2017-10-24T00:00:00-06:00,122.16004999478658 V
2017-10-25T00:00:00-06:00,122.20650887489319 V
2017-10-26T00:00:00-06:00,122.10767896970113 V
2017-10-27T00:00:00-06:00,122.1751799583435 V
2017-10-28T00:00:00-06:00,122.11406103769939 V
2017-10-29T00:00:00-06:00,122.05170607566833 V
2017-10-30T00:00:00-06:00,122.21094512939453 V
2017-10-31T00:00:00-06:00,122.25915439923604 V
2017-11-01T00:00:00-06:00,122.00148924191792 V
2017-11-02T00:00:00-06:00,122.17981680234273 V
2017-11-03T00:00:00-06:00,122.22225491205852 V
2017-11-04T00:00:00-06:00,122.18517994880676 V
2017-11-05T00:00:00-06:00,122.24991966247559 V
2017-11-06T00:00:00-07:00,122.26616525650024 V
2017-11-07T00:00:00-07:00,122.29182473818462 V
2017-11-08T00:00:00-07:00,122.12025006612141 V
2017-11-09T00:00:00-07:00,122.03955578804016 V
2017-11-10T00:00:00-07:00,122.18716621398926 V
2017-11-11T00:00:00-07:00,122.08891407648723 V
2017-11-12T00:00:00-07:00,122.144859790802 V
2017-11-13T00:00:00-07:00,122.18592317899068 V
2017-11-14T00:00:00-07:00,122.08590364456177 V
2017-11-15T00:00:00-07:00,121.89800985654195 V
2017-11-16T00:00:00-07:00,122.32346002260844 V
2017-11-17T00:00:00-07:00,122.14368446667989 V
2017-11-18T00:00:00-07:00,122.34237424532573 V
2017-11-19T00:00:00-07:00,122.46714409192403 V
2017-11-20T00:00:00-07:00,122.29711357752483 V
2017-11-21T00:00:00-07:00,122.03115725517273 V
2017-11-22T00:00:00-07:00,122.24242035547893 V
2017-11-23T00:00:00-07:00,122.22272698084514 V
2017-11-24T00:00:00-07:00,122.26962288220723 V
2017-11-25T00:00:00-07:00,122.19533085823059 V
2017-11-26T00:00:00-07:00,122.21174105008443 V
2017-11-27T00:00:00-07:00,122.26283105214436 V
2017-11-28T00:00:00-07:00,122.14715774854024 V
2017-11-29T00:00:00-07:00,122.12341157595317 V
2017-11-30T00:00:00-07:00,122.08406400680542 V
2017-12-01T00:00:00-07:00,122.17731253306071 V
2017-12-02T00:00:00-07:00,122.11442756652832 V
2017-12-03T00:00:00-07:00,122.09023094177246 V
2017-12-04T00:00:00-07:00,122.0528183778127 V
2017-12-05T00:00:00-07:00,122.168612241745 V
2017-12-06T00:00:00-07:00,122.18014160792033 V
2017-12-07T00:00:00-07:00,122.25110872586568 V
2017-12-08T00:00:00-07:00,122.31626749038696 V
2017-12-09T00:00:00-07:00,122.38479495048523 V
2017-12-10T00:00:00-07:00,122.31990194320679 V
2017-12-11T00:00:00-07:00,122.11131477355957 V
2017-12-12T00:00:00-07:00,122.01039751370747 V
2017-12-13T00:00:00-07:00,122.13198860486348 V
2017-12-14T00:00:00-07:00,122.22175510724385 V
2017-12-15T00:00:00-07:00,122.15239310264587 V
2017-12-16T00:00:00-07:00,122.25001915295918 V
2017-12-17T00:00:00-07:00,122.12267891565959 V
2017-12-18T00:00:00-07:00,122.18827983897219 V
2017-12-19T00:00:00-07:00,122.05112051963806 V
2017-12-20T00:00:00-07:00,122.19531122843425 V
2017-12-21T00:00:00-07:00,122.04731488227844 V
2017-12-22T00:00:00-07:00,122.10136810938518 V
2017-12-23T00:00:00-07:00,122.06259679794312 V
2017-12-24T00:00:00-07:00,122.12253673871358 V
2017-12-25T00:00:00-07:00,122.24654920895894 V
2017-12-26T00:00:00-07:00,122.2687668800354 V
2017-12-27T00:00:00-07:00,121.9532561302185 V
2017-12-28T00:00:00-07:00,122.23436450958252 V
2017-12-29T00:00:00-07:00,122.10185559590657 V
2017-12-30T00:00:00-07:00,122.05303637186687 V
2017-12-31T00:00:00-07:00,121.98205367724101 V
