Timestamp,['1d09e902-3b16c17c 0084-BIOLOGY BLDG Power Meter 316500 KWH Received']
2017-01-01T00:00:00-07:00,3638.548828125 kWh
2017-01-02T00:00:00-07:00,3714.62109375 kWh
2017-01-03T00:00:00-07:00,3874.66015625 kWh
2017-01-04T00:00:00-07:00,3803 kWh
2017-01-05T00:00:00-07:00,3836.728515625 kWh
2017-01-06T00:00:00-07:00,3873.26953125 kWh
2017-01-07T00:00:00-07:00,3705.87109375 kWh
2017-01-08T00:00:00-07:00,3647.78125 kWh
2017-01-09T00:00:00-07:00,3837.23828125 kWh
2017-01-10T00:00:00-07:00,3796.97265625 kWh
2017-01-11T00:00:00-07:00,3822.05859375 kWh
2017-01-12T00:00:00-07:00,3857.21875 kWh
2017-01-13T00:00:00-07:00,3827.0703125 kWh
2017-01-14T00:00:00-07:00,3697.01171875 kWh
2017-01-15T00:00:00-07:00,3710.7109375 kWh
2017-01-16T00:00:00-07:00,3752.9375 kWh
2017-01-17T00:00:00-07:00,3962.6171875 kWh
2017-01-18T00:00:00-07:00,3895.2265625 kWh
2017-01-19T00:00:00-07:00,3897.953125 kWh
2017-01-20T00:00:00-07:00,3806.9765625 kWh
2017-01-21T00:00:00-07:00,3684.859375 kWh
2017-01-22T00:00:00-07:00,3659.25 kWh
2017-01-23T00:00:00-07:00,3818.1171875 kWh
2017-01-24T00:00:00-07:00,3822.9375 kWh
2017-01-25T00:00:00-07:00,3817.34375 kWh
2017-01-26T00:00:00-07:00,3836.8828125 kWh
2017-01-27T00:00:00-07:00,3823.6640625 kWh
2017-01-28T00:00:00-07:00,3678.9140625 kWh
2017-01-29T00:00:00-07:00,3679.3984375 kWh
2017-01-30T00:00:00-07:00,3812.75 kWh
2017-01-31T00:00:00-07:00,3845.0234375 kWh
2017-02-01T00:00:00-07:00,3817.53125 kWh
2017-02-02T00:00:00-07:00,3789.78125 kWh
2017-02-03T00:00:00-07:00,16229.859375 kWh
2017-02-07T00:00:00-07:00,2124.9375 kWh
2017-02-08T00:00:00-07:00,3720.859375 kWh
2017-02-09T00:00:00-07:00,3790.140625 kWh
2017-02-10T00:00:00-07:00,3794.171875 kWh
2017-02-11T00:00:00-07:00,3544.390625 kWh
2017-02-12T00:00:00-07:00,3587.234375 kWh
2017-02-13T00:00:00-07:00,3821.171875 kWh
2017-02-14T00:00:00-07:00,3790.671875 kWh
2017-02-15T00:00:00-07:00,3687.53125 kWh
2017-02-16T00:00:00-07:00,3766.578125 kWh
2017-02-17T00:00:00-07:00,3643.984375 kWh
2017-02-18T00:00:00-07:00,3530.703125 kWh
2017-02-19T00:00:00-07:00,3420.046875 kWh
2017-02-20T00:00:00-07:00,3596.796875 kWh
2017-02-21T00:00:00-07:00,3785.671875 kWh
2017-02-22T00:00:00-07:00,3607.890625 kWh
2017-02-23T00:00:00-07:00,3638.609375 kWh
2017-02-24T00:00:00-07:00,222509.296875 kWh
2017-02-25T00:00:00-07:00,3440.9375 kWh
2017-02-26T00:00:00-07:00,3435.140625 kWh
2017-02-27T00:00:00-07:00,3612.484375 kWh
2017-02-28T00:00:00-07:00,3651.84375 kWh
2017-03-01T00:00:00-07:00,3696.640625 kWh
2017-03-02T00:00:00-07:00,3639.890625 kWh
2017-03-03T00:00:00-07:00,3584.65625 kWh
2017-03-04T00:00:00-07:00,3438.484375 kWh
2017-03-05T00:00:00-07:00,3453.890625 kWh
2017-03-06T00:00:00-07:00,3563.109375 kWh
2017-03-07T00:00:00-07:00,3589 kWh
2017-03-08T00:00:00-07:00,3699.359375 kWh
2017-03-09T00:00:00-07:00,3805 kWh
2017-03-10T00:00:00-07:00,3861.0625 kWh
2017-03-11T00:00:00-07:00,3592.59375 kWh
2017-03-12T00:00:00-07:00,3454.5625 kWh
2017-03-13T00:00:00-06:00,3732.46875 kWh
2017-03-14T00:00:00-06:00,3873.4375 kWh
2017-03-15T00:00:00-06:00,3843.625 kWh
2017-03-16T00:00:00-06:00,3756.71875 kWh
2017-03-17T00:00:00-06:00,3708.9375 kWh
2017-03-18T00:00:00-06:00,3582.03125 kWh
2017-03-19T00:00:00-06:00,3556.71875 kWh
2017-03-20T00:00:00-06:00,3818.28125 kWh
2017-03-21T00:00:00-06:00,3833.5625 kWh
2017-03-22T00:00:00-06:00,3808.96875 kWh
2017-03-23T00:00:00-06:00,3665.25 kWh
2017-03-24T00:00:00-06:00,3794.8125 kWh
2017-03-25T00:00:00-06:00,3544.34375 kWh
2017-03-26T00:00:00-06:00,3452.53125 kWh
2017-03-27T00:00:00-06:00,3521.46875 kWh
2017-03-28T00:00:00-06:00,3530.875 kWh
2017-03-29T00:00:00-06:00,5588 kWh
2017-03-30T00:00:00-06:00,1703 kWh
2017-03-31T00:00:00-06:00,3611.65625 kWh
2017-04-01T00:00:00-06:00,3457.84375 kWh
2017-04-02T00:00:00-06:00,3339.71875 kWh
2017-04-03T00:00:00-06:00,3486.53125 kWh
2017-04-04T00:00:00-06:00,3527.28125 kWh
2017-04-05T00:00:00-06:00,3624.59375 kWh
2017-04-06T00:00:00-06:00,3685.09375 kWh
2017-04-07T00:00:00-06:00,3698.21875 kWh
2017-04-08T00:00:00-06:00,3459.3125 kWh
2017-04-09T00:00:00-06:00,3459.9375 kWh
2017-04-10T00:00:00-06:00,3737.65625 kWh
2017-04-11T00:00:00-06:00,3670.96875 kWh
2017-04-12T00:00:00-06:00,3704.34375 kWh
2017-04-13T00:00:00-06:00,3688.125 kWh
2017-04-14T00:00:00-06:00,3656.71875 kWh
2017-04-15T00:00:00-06:00,3432.65625 kWh
2017-04-16T00:00:00-06:00,3478.59375 kWh
2017-04-17T00:00:00-06:00,3763.6875 kWh
2017-04-18T00:00:00-06:00,3782.6875 kWh
2017-04-19T00:00:00-06:00,3655.21875 kWh
2017-04-20T00:00:00-06:00,3754.25 kWh
2017-04-21T00:00:00-06:00,3643.75 kWh
2017-04-22T00:00:00-06:00,3515.625 kWh
2017-04-23T00:00:00-06:00,3589.90625 kWh
2017-04-24T00:00:00-06:00,3692.34375 kWh
2017-04-25T00:00:00-06:00,3592.96875 kWh
2017-04-26T00:00:00-06:00,3581.3125 kWh
2017-04-27T00:00:00-06:00,3523.59375 kWh
2017-04-28T00:00:00-06:00,3540.84375 kWh
2017-04-29T00:00:00-06:00,3464.9375 kWh
2017-04-30T00:00:00-06:00,3506.9375 kWh
2017-05-01T00:00:00-06:00,3703.59375 kWh
2017-05-02T00:00:00-06:00,3640.8125 kWh
2017-05-03T00:00:00-06:00,3607.28125 kWh
2017-05-04T00:00:00-06:00,3612.28125 kWh
2017-05-05T00:00:00-06:00,3557.09375 kWh
2017-05-06T00:00:00-06:00,3410.6875 kWh
2017-05-07T00:00:00-06:00,3414.4375 kWh
2017-05-08T00:00:00-06:00,3600.34375 kWh
2017-05-09T00:00:00-06:00,3585.90625 kWh
2017-05-10T00:00:00-06:00,3620.4375 kWh
2017-05-11T00:00:00-06:00,3636.40625 kWh
2017-05-12T00:00:00-06:00,3615.78125 kWh
2017-05-13T00:00:00-06:00,3398.125 kWh
2017-05-14T00:00:00-06:00,3311.25 kWh
2017-05-15T00:00:00-06:00,3607.375 kWh
2017-05-16T00:00:00-06:00,3636.65625 kWh
2017-05-17T00:00:00-06:00,3368.9375 kWh
2017-05-18T00:00:00-06:00,3311.0625 kWh
2017-05-19T00:00:00-06:00,3362.96875 kWh
2017-05-20T00:00:00-06:00,3334.5625 kWh
2017-05-21T00:00:00-06:00,3362.4375 kWh
2017-05-22T00:00:00-06:00,3574.4375 kWh
2017-05-23T00:00:00-06:00,3636.3125 kWh
2017-05-24T00:00:00-06:00,3611.9375 kWh
2017-05-25T00:00:00-06:00,3615.9375 kWh
2017-05-26T00:00:00-06:00,3569.25 kWh
2017-05-27T00:00:00-06:00,3421.375 kWh
2017-05-28T00:00:00-06:00,3414.875 kWh
2017-05-29T00:00:00-06:00,3297.1875 kWh
2017-05-30T00:00:00-06:00,3523.0625 kWh
2017-05-31T00:00:00-06:00,3587.25 kWh
2017-06-01T00:00:00-06:00,3624.375 kWh
2017-06-02T00:00:00-06:00,3564.25 kWh
2017-06-03T00:00:00-06:00,3412.875 kWh
2017-06-04T00:00:00-06:00,3406.25 kWh
2017-06-05T00:00:00-06:00,3608.5625 kWh
2017-06-06T00:00:00-06:00,3547.75 kWh
2017-06-07T00:00:00-06:00,3622.0625 kWh
2017-06-08T00:00:00-06:00,3592.5625 kWh
2017-06-09T00:00:00-06:00,3553.9375 kWh
2017-06-10T00:00:00-06:00,3408.625 kWh
2017-06-11T00:00:00-06:00,3389.6875 kWh
2017-06-12T00:00:00-06:00,3569.0625 kWh
2017-06-13T00:00:00-06:00,3536.0625 kWh
2017-06-14T00:00:00-06:00,3538.625 kWh
2017-06-15T00:00:00-06:00,3613.9375 kWh
2017-06-16T00:00:00-06:00,3545.125 kWh
2017-06-17T00:00:00-06:00,3360.375 kWh
2017-06-18T00:00:00-06:00,3378.6875 kWh
2017-06-19T00:00:00-06:00,3593.5 kWh
2017-06-20T00:00:00-06:00,3598.5625 kWh
2017-06-21T00:00:00-06:00,3637.875 kWh
2017-06-22T00:00:00-06:00,3611 kWh
2017-06-23T00:00:00-06:00,3583.6875 kWh
2017-06-24T00:00:00-06:00,3432.0625 kWh
2017-06-25T00:00:00-06:00,3463.0625 kWh
2017-06-26T00:00:00-06:00,3744.6875 kWh
2017-06-27T00:00:00-06:00,3764.8125 kWh
2017-06-28T00:00:00-06:00,3752.8125 kWh
2017-06-29T00:00:00-06:00,3768.5625 kWh
2017-06-30T00:00:00-06:00,3774.625 kWh
2017-07-01T00:00:00-06:00,3622.6875 kWh
2017-07-02T00:00:00-06:00,3608.0625 kWh
2017-07-03T00:00:00-06:00,3774.25 kWh
2017-07-04T00:00:00-06:00,3641 kWh
2017-07-05T00:00:00-06:00,3752.3125 kWh
2017-07-06T00:00:00-06:00,3805 kWh
2017-07-07T00:00:00-06:00,3768.4375 kWh
2017-07-08T00:00:00-06:00,3609.375 kWh
2017-07-09T00:00:00-06:00,3628.8125 kWh
2017-07-10T00:00:00-06:00,3850.4375 kWh
2017-07-11T00:00:00-06:00,3816.625 kWh
2017-07-12T00:00:00-06:00,3809 kWh
2017-07-13T00:00:00-06:00,3815.125 kWh
2017-07-14T00:00:00-06:00,3749.9375 kWh
2017-07-15T00:00:00-06:00,3517.125 kWh
2017-07-16T00:00:00-06:00,3485.75 kWh
2017-07-17T00:00:00-06:00,3685.25 kWh
2017-07-18T00:00:00-06:00,3707.5 kWh
2017-07-19T00:00:00-06:00,3706.3125 kWh
2017-07-20T00:00:00-06:00,3681.4375 kWh
2017-07-21T00:00:00-06:00,3644.8125 kWh
2017-07-22T00:00:00-06:00,3504.4375 kWh
2017-07-23T00:00:00-06:00,3481.5 kWh
2017-07-24T00:00:00-06:00,3561.1875 kWh
2017-07-25T00:00:00-06:00,3675.875 kWh
2017-07-26T00:00:00-06:00,3676.5 kWh
2017-07-27T00:00:00-06:00,3736.5 kWh
2017-07-28T00:00:00-06:00,3686.8125 kWh
2017-07-29T00:00:00-06:00,3489.25 kWh
2017-07-30T00:00:00-06:00,3499.25 kWh
2017-07-31T00:00:00-06:00,3702.5625 kWh
2017-08-01T00:00:00-06:00,3758.0625 kWh
2017-08-02T00:00:00-06:00,3744 kWh
2017-08-03T00:00:00-06:00,3761.75 kWh
2017-08-04T00:00:00-06:00,3691.5 kWh
2017-08-05T00:00:00-06:00,3549.375 kWh
2017-08-06T00:00:00-06:00,3537.8125 kWh
2017-08-07T00:00:00-06:00,3730.5625 kWh
2017-08-08T00:00:00-06:00,3719 kWh
2017-08-09T00:00:00-06:00,3683.3125 kWh
2017-08-10T00:00:00-06:00,3678.3125 kWh
2017-08-11T00:00:00-06:00,3685.3125 kWh
2017-08-12T00:00:00-06:00,3486.625 kWh
2017-08-13T00:00:00-06:00,3536.3125 kWh
2017-08-14T00:00:00-06:00,3758 kWh
2017-08-15T00:00:00-06:00,3726.5 kWh
2017-08-16T00:00:00-06:00,3693.375 kWh
2017-08-17T00:00:00-06:00,3710.375 kWh
2017-08-18T00:00:00-06:00,3685.5625 kWh
2017-08-19T00:00:00-06:00,3535.375 kWh
2017-08-20T00:00:00-06:00,3524 kWh
2017-08-21T00:00:00-06:00,3701.0625 kWh
2017-08-22T00:00:00-06:00,3761.8125 kWh
2017-08-23T00:00:00-06:00,3702.4375 kWh
2017-08-24T00:00:00-06:00,3697.4375 kWh
2017-08-25T00:00:00-06:00,3761.4375 kWh
2017-08-26T00:00:00-06:00,3553 kWh
2017-08-27T00:00:00-06:00,3557.25 kWh
2017-08-28T00:00:00-06:00,3860.625 kWh
2017-08-29T00:00:00-06:00,3674.25 kWh
2017-08-30T00:00:00-06:00,3751.375 kWh
2017-08-31T00:00:00-06:00,3727.625 kWh
2017-09-01T00:00:00-06:00,3688.9375 kWh
2017-09-02T00:00:00-06:00,3523.8125 kWh
2017-09-03T00:00:00-06:00,3521 kWh
2017-09-04T00:00:00-06:00,3542 kWh
2017-09-05T00:00:00-06:00,3650.5 kWh
2017-09-06T00:00:00-06:00,3607.0625 kWh
2017-09-07T00:00:00-06:00,3605.4375 kWh
2017-09-08T00:00:00-06:00,3552.5 kWh
2017-09-09T00:00:00-06:00,3408.1875 kWh
2017-09-10T00:00:00-06:00,3418.25 kWh
2017-09-11T00:00:00-06:00,3610.0625 kWh
2017-09-12T00:00:00-06:00,3565.125 kWh
2017-09-13T00:00:00-06:00,3602.125 kWh
2017-09-14T00:00:00-06:00,3575.5 kWh
2017-09-15T00:00:00-06:00,3570.8125 kWh
2017-09-16T00:00:00-06:00,3366.75 kWh
2017-09-17T00:00:00-06:00,3370.25 kWh
2017-09-18T00:00:00-06:00,3477.5 kWh
2017-09-19T00:00:00-06:00,3622.1875 kWh
2017-09-20T00:00:00-06:00,3504.5625 kWh
2017-09-21T00:00:00-06:00,3467.9375 kWh
2017-09-22T00:00:00-06:00,3294.625 kWh
2017-09-23T00:00:00-06:00,3104.125 kWh
2017-09-24T00:00:00-06:00,3086.0625 kWh
2017-09-25T00:00:00-06:00,3417.0625 kWh
2017-09-26T00:00:00-06:00,3429.4375 kWh
2017-09-27T00:00:00-06:00,3491.0625 kWh
2017-09-28T00:00:00-06:00,3591.375 kWh
2017-09-29T00:00:00-06:00,3560.219970703125 kWh
2017-09-30T00:00:00-06:00,3341.289794921875 kWh
2017-10-01T00:00:00-06:00,3269.48046875 kWh
2017-10-02T00:00:00-06:00,3294.8095703125 kWh
2017-10-03T00:00:00-06:00,3456.41015625 kWh
2017-10-04T00:00:00-06:00,3576.7607421875 kWh
2017-10-05T00:00:00-06:00,3438.01953125 kWh
2017-10-06T00:00:00-06:00,3438.298828125 kWh
2017-10-07T00:00:00-06:00,3279.19140625 kWh
2017-10-08T00:00:00-06:00,3175.330078125 kWh
2017-10-09T00:00:00-06:00,3270.388671875 kWh
2017-10-10T00:00:00-06:00,3393.640625 kWh
2017-10-11T00:00:00-06:00,3456.46875 kWh
2017-10-12T00:00:00-06:00,3420.0625 kWh
2017-10-13T00:00:00-06:00,3348.578125 kWh
2017-10-14T00:00:00-06:00,3140.7890625 kWh
2017-10-15T00:00:00-06:00,3123.98046875 kWh
2017-10-16T00:00:00-06:00,3441.4296875 kWh
2017-10-17T00:00:00-06:00,3534.33203125 kWh
2017-10-18T00:00:00-06:00,3524.23828125 kWh
2017-10-19T00:00:00-06:00,3542.6796875 kWh
2017-10-20T00:00:00-06:00,3479.921875 kWh
2017-10-21T00:00:00-06:00,3147.8984375 kWh
2017-10-22T00:00:00-06:00,3239.1015625 kWh
2017-10-23T00:00:00-06:00,3584.1171875 kWh
2017-10-24T00:00:00-06:00,3596.0546875 kWh
2017-10-25T00:00:00-06:00,3565.2890625 kWh
2017-10-26T00:00:00-06:00,407134.125 kWh
