Timestamp,['1d0a1977-16c6db32 0084-BIOLOGY BLDG Power Meter 316501 KW Total']
2017-01-01T00:00:00-07:00,-213.19935607910156 kW
2017-01-02T00:00:00-07:00,-215.93759155273438 kW
2017-01-03T00:00:00-07:00,-228.2352294921875 kW
2017-01-04T00:00:00-07:00,-221.9370574951172 kW
2017-01-05T00:00:00-07:00,-220.28271484375 kW
2017-01-06T00:00:00-07:00,-215.89694213867188 kW
2017-01-07T00:00:00-07:00,-221.8359375 kW
2017-01-08T00:00:00-07:00,-226.6229705810547 kW
2017-01-09T00:00:00-07:00,-224.4004669189453 kW
2017-01-10T00:00:00-07:00,-226.8721466064453 kW
2017-01-11T00:00:00-07:00,-229.9971923828125 kW
2017-01-12T00:00:00-07:00,-228.23324584960938 kW
2017-01-13T00:00:00-07:00,-233.7916717529297 kW
2017-01-14T00:00:00-07:00,-228.6946563720703 kW
2017-01-15T00:00:00-07:00,-223.55743408203125 kW
2017-01-16T00:00:00-07:00,-233.827880859375 kW
2017-01-17T00:00:00-07:00,-225.4622802734375 kW
2017-01-18T00:00:00-07:00,-229.51071166992188 kW
2017-01-19T00:00:00-07:00,-228.5496826171875 kW
2017-01-20T00:00:00-07:00,-226.42422485351562 kW
2017-01-21T00:00:00-07:00,-217.68435668945312 kW
2017-01-22T00:00:00-07:00,-217.3887481689453 kW
2017-01-23T00:00:00-07:00,-215.38124084472656 kW
2017-01-24T00:00:00-07:00,-223.58203125 kW
2017-01-25T00:00:00-07:00,-212.18592834472656 kW
2017-01-26T00:00:00-07:00,-221.87069702148438 kW
2017-01-27T00:00:00-07:00,-223.47119140625 kW
2017-01-28T00:00:00-07:00,-221.18955993652344 kW
2017-01-29T00:00:00-07:00,-215.33477783203125 kW
2017-01-30T00:00:00-07:00,-218.3540802001953 kW
2017-01-31T00:00:00-07:00,-211.6127471923828 kW
2017-02-01T00:00:00-07:00,-228.39608764648438 kW
2017-02-02T00:00:00-07:00,-225.86834716796875 kW
2017-02-03T00:00:00-07:00,-213.40460205078125 kW
2017-02-07T00:00:00-07:00,-233.22421264648438 kW
2017-02-08T00:00:00-07:00,-214.56846618652344 kW
2017-02-09T00:00:00-07:00,-212.0252227783203 kW
2017-02-10T00:00:00-07:00,-221.7348175048828 kW
2017-02-11T00:00:00-07:00,-251.41375732421875 kW
2017-02-12T00:00:00-07:00,-238.7495880126953 kW
2017-02-13T00:00:00-07:00,-234.77828979492188 kW
2017-02-14T00:00:00-07:00,-223.88612365722656 kW
2017-02-15T00:00:00-07:00,-215.6864776611328 kW
2017-02-16T00:00:00-07:00,-208.91404724121094 kW
2017-02-17T00:00:00-07:00,-199.4158477783203 kW
2017-02-18T00:00:00-07:00,-202.1458282470703 kW
2017-02-19T00:00:00-07:00,-205.3975830078125 kW
2017-02-20T00:00:00-07:00,-200.9583282470703 kW
2017-02-21T00:00:00-07:00,-197.19442749023438 kW
2017-02-22T00:00:00-07:00,-226.57595825195312 kW
2017-02-23T00:00:00-07:00,-198.95919799804688 kW
2017-02-24T00:00:00-07:00,-203.22171020507812 kW
2017-02-25T00:00:00-07:00,-221.86656188964844 kW
2017-02-26T00:00:00-07:00,-215.5331268310547 kW
2017-02-27T00:00:00-07:00,-218.49269104003906 kW
2017-02-28T00:00:00-07:00,-223.0454864501953 kW
2017-03-01T00:00:00-07:00,-219.57374572753906 kW
2017-03-02T00:00:00-07:00,-221.78494262695312 kW
2017-03-03T00:00:00-07:00,-222.80133056640625 kW
2017-03-04T00:00:00-07:00,-224.66770935058594 kW
2017-03-05T00:00:00-07:00,-222.71835327148438 kW
2017-03-06T00:00:00-07:00,-225.717529296875 kW
2017-03-07T00:00:00-07:00,-225.60433959960938 kW
2017-03-08T00:00:00-07:00,-224.05792236328125 kW
2017-03-09T00:00:00-07:00,-218.17837524414062 kW
2017-03-10T00:00:00-07:00,-218.29745483398438 kW
2017-03-11T00:00:00-07:00,-217.00726318359375 kW
2017-03-12T00:00:00-07:00,-213.56590270996094 kW
2017-03-13T00:00:00-06:00,-211.21629333496094 kW
2017-03-14T00:00:00-06:00,-214.0211944580078 kW
2017-03-15T00:00:00-06:00,-215.0559844970703 kW
2017-03-16T00:00:00-06:00,-210.7637176513672 kW
2017-03-17T00:00:00-06:00,-214.70472717285156 kW
2017-03-18T00:00:00-06:00,-207.01829528808594 kW
2017-03-19T00:00:00-06:00,-210.37937927246094 kW
2017-03-20T00:00:00-06:00,-211.0272674560547 kW
2017-03-21T00:00:00-06:00,-214.93484497070312 kW
2017-03-22T00:00:00-06:00,-211.6585693359375 kW
2017-03-23T00:00:00-06:00,-210.3939208984375 kW
2017-03-24T00:00:00-06:00,-219.44642639160156 kW
2017-03-25T00:00:00-06:00,-208.81275939941406 kW
2017-03-26T00:00:00-06:00,-216.53469848632812 kW
2017-03-27T00:00:00-06:00,-199.7883758544922 kW
2017-03-28T00:00:00-06:00,-207.7930450439453 kW
2017-03-29T00:00:00-06:00,-211.40447998046875 kW
2017-03-30T00:00:00-06:00,-201.51345825195312 kW
2017-03-31T00:00:00-06:00,-187.7486114501953 kW
2017-04-01T00:00:00-06:00,-186.15963745117188 kW
2017-04-02T00:00:00-06:00,-186.7205047607422 kW
2017-04-03T00:00:00-06:00,-188.41419982910156 kW
2017-04-04T00:00:00-06:00,-188.9112548828125 kW
2017-04-05T00:00:00-06:00,-212.85499572753906 kW
2017-04-06T00:00:00-06:00,-205.15110778808594 kW
2017-04-11T00:00:00-06:00,-213.9287872314453 kW
2017-04-12T00:00:00-06:00,-316.0091552734375 kW
2017-04-13T00:00:00-06:00,-214.40635681152344 kW
2017-04-14T00:00:00-06:00,-232.608642578125 kW
2017-04-18T00:00:00-06:00,-306.72900390625 kW
2017-04-20T00:00:00-06:00,-242.31658935546875 kW
2017-04-21T00:00:00-06:00,-238.26097106933594 kW
2017-04-22T00:00:00-06:00,-220.23822021484375 kW
2017-04-23T00:00:00-06:00,-210.04534912109375 kW
2017-04-24T00:00:00-06:00,-215.14215087890625 kW
2017-04-25T00:00:00-06:00,-217.62765502929688 kW
2017-04-26T00:00:00-06:00,-211.16470336914062 kW
2017-04-27T00:00:00-06:00,-218.02734375 kW
2017-04-28T00:00:00-06:00,-206.59347534179688 kW
2017-04-29T00:00:00-06:00,-207.19618225097656 kW
2017-04-30T00:00:00-06:00,-206.19712829589844 kW
2017-05-01T00:00:00-06:00,-211.36892700195312 kW
2017-05-02T00:00:00-06:00,-210.73191833496094 kW
2017-05-03T00:00:00-06:00,-209.45172119140625 kW
2017-05-05T00:00:00-06:00,-217.75558471679688 kW
2017-05-08T00:00:00-06:00,-277.57501220703125 kW
2017-05-24T00:00:00-06:00,-267.70758056640625 kW
2017-05-27T00:00:00-06:00,-212.63714599609375 kW
2017-06-02T00:00:00-06:00,-262.04058837890625 kW
2017-06-03T00:00:00-06:00,-287.0133972167969 kW
2017-06-07T00:00:00-06:00,-207.61399841308594 kW
2017-06-08T00:00:00-06:00,-207.40977478027344 kW
2017-06-09T00:00:00-06:00,-204.25914001464844 kW
2017-06-10T00:00:00-06:00,-201.24977111816406 kW
2017-06-11T00:00:00-06:00,-202.846435546875 kW
2017-06-12T00:00:00-06:00,-196.00352478027344 kW
2017-06-13T00:00:00-06:00,-194.47891235351562 kW
2017-06-14T00:00:00-06:00,-196.97837829589844 kW
2017-06-15T00:00:00-06:00,-202.12979125976562 kW
2017-06-16T00:00:00-06:00,-204.12759399414062 kW
2017-06-17T00:00:00-06:00,-197.544921875 kW
2017-06-18T00:00:00-06:00,-200.75184631347656 kW
2017-06-19T00:00:00-06:00,-196.9720458984375 kW
2017-06-20T00:00:00-06:00,-197.90118408203125 kW
2017-06-21T00:00:00-06:00,-202.9112091064453 kW
2017-06-22T00:00:00-06:00,-202.2955780029297 kW
2017-06-23T00:00:00-06:00,-200.31723022460938 kW
2017-06-24T00:00:00-06:00,-201.399169921875 kW
2017-06-25T00:00:00-06:00,-201.7493438720703 kW
2017-06-26T00:00:00-06:00,-207.44407653808594 kW
2017-06-27T00:00:00-06:00,-205.68663024902344 kW
2017-06-28T00:00:00-06:00,-199.40542602539062 kW
2017-06-29T00:00:00-06:00,-198.2945098876953 kW
2017-06-30T00:00:00-06:00,-197.10018920898438 kW
2017-07-01T00:00:00-06:00,-198.6216278076172 kW
2017-07-02T00:00:00-06:00,-203.2584686279297 kW
2017-07-03T00:00:00-06:00,-194.68203735351562 kW
2017-07-04T00:00:00-06:00,-203.44496154785156 kW
2017-07-05T00:00:00-06:00,-207.206787109375 kW
2017-07-06T00:00:00-06:00,-208.59091186523438 kW
2017-07-07T00:00:00-06:00,-208.50790405273438 kW
2017-07-08T00:00:00-06:00,-212.36038208007812 kW
2017-07-09T00:00:00-06:00,-207.00538635253906 kW
2017-07-10T00:00:00-06:00,-201.46109008789062 kW
2017-07-11T00:00:00-06:00,-207.22682189941406 kW
2017-07-12T00:00:00-06:00,-202.0653839111328 kW
2017-07-13T00:00:00-06:00,-210.3643341064453 kW
2017-07-14T00:00:00-06:00,-208.95289611816406 kW
2017-07-15T00:00:00-06:00,-212.8899688720703 kW
2017-07-16T00:00:00-06:00,-216.07400512695312 kW
2017-07-17T00:00:00-06:00,-210.23626708984375 kW
2017-07-18T00:00:00-06:00,-205.4610595703125 kW
2017-07-19T00:00:00-06:00,-218.09091186523438 kW
2017-07-20T00:00:00-06:00,-208.98765563964844 kW
2017-07-21T00:00:00-06:00,-209.18365478515625 kW
2017-07-22T00:00:00-06:00,-205.10098266601562 kW
2017-07-23T00:00:00-06:00,-206.96099853515625 kW
2017-07-24T00:00:00-06:00,-205.29574584960938 kW
2017-07-25T00:00:00-06:00,-198.20440673828125 kW
2017-07-26T00:00:00-06:00,-198.88665771484375 kW
2017-07-27T00:00:00-06:00,-197.7059326171875 kW
2017-07-28T00:00:00-06:00,-199.71258544921875 kW
2017-07-29T00:00:00-06:00,-198.49476623535156 kW
2017-07-30T00:00:00-06:00,-203.92202758789062 kW
2017-07-31T00:00:00-06:00,-205.45057678222656 kW
2017-08-01T00:00:00-06:00,-206.56956481933594 kW
2017-08-02T00:00:00-06:00,-200.5447998046875 kW
2017-08-03T00:00:00-06:00,-200.0116424560547 kW
2017-08-04T00:00:00-06:00,-204.371826171875 kW
2017-08-05T00:00:00-06:00,-206.6032257080078 kW
2017-08-06T00:00:00-06:00,-203.69590759277344 kW
2017-08-07T00:00:00-06:00,-199.3336181640625 kW
2017-08-08T00:00:00-06:00,-203.73011779785156 kW
2017-08-09T00:00:00-06:00,-202.51988220214844 kW
2017-08-10T00:00:00-06:00,-204.9822998046875 kW
2017-08-11T00:00:00-06:00,-203.78062438964844 kW
2017-08-12T00:00:00-06:00,-205.951171875 kW
2017-08-13T00:00:00-06:00,-199.3003387451172 kW
2017-08-14T00:00:00-06:00,-190.53802490234375 kW
2017-08-15T00:00:00-06:00,-189.29940795898438 kW
2017-08-16T00:00:00-06:00,-184.81301879882812 kW
2017-08-17T00:00:00-06:00,-174.7654571533203 kW
2017-08-18T00:00:00-06:00,-173.6490936279297 kW
2017-08-19T00:00:00-06:00,-209.25962829589844 kW
2017-08-20T00:00:00-06:00,-213.8723907470703 kW
2017-08-21T00:00:00-06:00,-186.47865295410156 kW
2017-08-22T00:00:00-06:00,-175.73907470703125 kW
2017-08-23T00:00:00-06:00,-176.92376708984375 kW
2017-08-24T00:00:00-06:00,-193.48251342773438 kW
2017-08-25T00:00:00-06:00,-175.00949096679688 kW
2017-08-26T00:00:00-06:00,-191.3192138671875 kW
2017-08-27T00:00:00-06:00,-190.55374145507812 kW
2017-08-28T00:00:00-06:00,-185.24034118652344 kW
2017-08-29T00:00:00-06:00,-199.9321746826172 kW
2017-08-30T00:00:00-06:00,-195.7637481689453 kW
2017-08-31T00:00:00-06:00,-177.72677612304688 kW
2017-09-01T00:00:00-06:00,-176.07852172851562 kW
2017-09-02T00:00:00-06:00,-192.8628387451172 kW
2017-09-03T00:00:00-06:00,-196.56236267089844 kW
2017-09-04T00:00:00-06:00,-197.41209411621094 kW
2017-09-05T00:00:00-06:00,-197.7752227783203 kW
2017-09-06T00:00:00-06:00,-193.45968627929688 kW
2017-09-07T00:00:00-06:00,-195.25479125976562 kW
2017-09-08T00:00:00-06:00,-195.19720458984375 kW
2017-09-09T00:00:00-06:00,-194.31838989257812 kW
2017-09-10T00:00:00-06:00,-183.4773712158203 kW
2017-09-11T00:00:00-06:00,-187.8624267578125 kW
2017-09-12T00:00:00-06:00,-179.07554626464844 kW
2017-09-13T00:00:00-06:00,-189.84022521972656 kW
2017-09-14T00:00:00-06:00,-190.91285705566406 kW
2017-09-15T00:00:00-06:00,-186.62844848632812 kW
2017-09-16T00:00:00-06:00,-187.9804229736328 kW
2017-09-17T00:00:00-06:00,-187.83949279785156 kW
2017-09-18T00:00:00-06:00,-189.26853942871094 kW
2017-09-19T00:00:00-06:00,-188.38677978515625 kW
2017-09-20T00:00:00-06:00,-180.24923706054688 kW
2017-09-21T00:00:00-06:00,-187.72698974609375 kW
2017-09-22T00:00:00-06:00,-188.87332153320312 kW
2017-09-23T00:00:00-06:00,-179.97265625 kW
2017-09-24T00:00:00-06:00,-183.5215606689453 kW
2017-09-25T00:00:00-06:00,-183.4462127685547 kW
2017-09-26T00:00:00-06:00,-184.540771484375 kW
2017-09-27T00:00:00-06:00,-189.71795654296875 kW
2017-09-28T00:00:00-06:00,-191.70982360839844 kW
2017-09-29T00:00:00-06:00,-188.28160095214844 kW
2017-09-30T00:00:00-06:00,-181.7891082763672 kW
2017-10-01T00:00:00-06:00,-171.94320678710938 kW
2017-10-02T00:00:00-06:00,-172.9281463623047 kW
2017-10-03T00:00:00-06:00,-180.54966735839844 kW
2017-10-04T00:00:00-06:00,-180.63699340820312 kW
2017-10-05T00:00:00-06:00,-177.00997924804688 kW
2017-10-06T00:00:00-06:00,-181.73858642578125 kW
2017-10-07T00:00:00-06:00,-175.84788513183594 kW
2017-10-08T00:00:00-06:00,-176.0105438232422 kW
2017-10-09T00:00:00-06:00,-182.9589080810547 kW
2017-10-10T00:00:00-06:00,-179.20016479492188 kW
2017-10-11T00:00:00-06:00,-181.9938507080078 kW
2017-10-12T00:00:00-06:00,-180.4058074951172 kW
2017-10-13T00:00:00-06:00,-178.53790283203125 kW
2017-10-14T00:00:00-06:00,-165.94825744628906 kW
2017-10-15T00:00:00-06:00,-174.6187286376953 kW
2017-10-16T00:00:00-06:00,-170.97410583496094 kW
2017-10-17T00:00:00-06:00,-159.51290893554688 kW
2017-10-18T00:00:00-06:00,-165.85806274414062 kW
2017-10-19T00:00:00-06:00,-160.26235961914062 kW
2017-10-20T00:00:00-06:00,-174.0687713623047 kW
2017-10-21T00:00:00-06:00,-175.13758850097656 kW
2017-10-22T00:00:00-06:00,-168.7034912109375 kW
2017-10-23T00:00:00-06:00,-174.08033752441406 kW
2017-10-24T00:00:00-06:00,-177.0846710205078 kW
2017-10-25T00:00:00-06:00,-174.8843231201172 kW
2017-10-26T00:00:00-06:00,-176.295654296875 kW
