Timestamp,['1e71be58-cc232c7e 0040-STUDENT SERVICES BLDG Power Meter (300089) Current B']
2017-01-01T00:00:00-07:00,328.00024286905926 A
2017-01-02T00:00:00-07:00,331.62709681193036 A
2017-01-03T00:00:00-07:00,362.40599664052326 A
2017-01-04T00:00:00-07:00,363.0934934616089 A
2017-01-05T00:00:00-07:00,361.4997059504191 A
2017-01-06T00:00:00-07:00,374.45626703898114 A
2017-01-07T00:00:00-07:00,338.68606503804523 A
2017-01-08T00:00:00-07:00,356.8847465515137 A
2017-01-09T00:00:00-07:00,396.6254603068034 A
2017-01-10T00:00:00-07:00,391.383038520813 A
2017-01-11T00:00:00-07:00,395.0627495447795 A
2017-01-12T00:00:00-07:00,391.57116826375324 A
2017-01-13T00:00:00-07:00,393.8547353744507 A
2017-01-14T00:00:00-07:00,350.978196144104 A
2017-01-15T00:00:00-07:00,349.572701772054 A
2017-01-16T00:00:00-07:00,338.00981426239014 A
2017-01-17T00:00:00-07:00,375.45618534088135 A
2017-01-18T00:00:00-07:00,368.5912889753069 A
2017-01-19T00:00:00-07:00,379.9035584131877 A
2017-01-20T00:00:00-07:00,370.4726864496867 A
2017-01-21T00:00:00-07:00,329.2837438583374 A
2017-01-22T00:00:00-07:00,335.4097674687703 A
2017-01-23T00:00:00-07:00,366.5837484995524 A
2017-01-24T00:00:00-07:00,378.84231249491376 A
2017-01-25T00:00:00-07:00,380.7336441675822 A
2017-01-26T00:00:00-07:00,384.0072832107544 A
2017-01-27T00:00:00-07:00,381.2313168843587 A
2017-01-28T00:00:00-07:00,334.2903757095337 A
2017-01-29T00:00:00-07:00,336.8462333679199 A
2017-01-30T00:00:00-07:00,391.8290026982625 A
2017-01-31T00:00:00-07:00,389.4457887013753 A
2017-02-01T00:00:00-07:00,387.68144448598224 A
2017-02-02T00:00:00-07:00,383.5434509913127 A
2017-02-03T00:00:00-07:00,385.8819181797868 A
2017-02-07T00:00:00-07:00,398.52732938878677 A
2017-02-08T00:00:00-07:00,385.11851930082514 A
2017-02-09T00:00:00-07:00,400.72922738393146 A
2017-02-10T00:00:00-07:00,398.8866968154907 A
2017-02-11T00:00:00-07:00,347.7221155166626 A
2017-02-12T00:00:00-07:00,342.13716379801434 A
2017-02-13T00:00:00-07:00,386.0482095082601 A
2017-02-14T00:00:00-07:00,382.46177037556964 A
2017-02-15T00:00:00-07:00,382.60277557373047 A
2017-02-16T00:00:00-07:00,391.9643128712972 A
2017-02-17T00:00:00-07:00,385.5761203765869 A
2017-02-18T00:00:00-07:00,350.8471934000651 A
2017-02-19T00:00:00-07:00,349.5386619567871 A
2017-02-20T00:00:00-07:00,358.63532543182373 A
2017-02-21T00:00:00-07:00,392.7781632741292 A
2017-02-22T00:00:00-07:00,388.13560422261554 A
2017-02-23T00:00:00-07:00,387.32297197977704 A
2017-02-24T00:00:00-07:00,375.3375143703026 A
2017-02-25T00:00:00-07:00,349.9063997268677 A
2017-02-26T00:00:00-07:00,349.7605381011963 A
2017-02-27T00:00:00-07:00,393.48548857371014 A
2017-02-28T00:00:00-07:00,393.09270509084064 A
2017-03-01T00:00:00-07:00,390.3401746749878 A
2017-03-02T00:00:00-07:00,388.78107102711994 A
2017-03-03T00:00:00-07:00,388.4791324013158 A
2017-03-04T00:00:00-07:00,358.6182238260905 A
2017-03-05T00:00:00-07:00,356.6226921081543 A
2017-03-06T00:00:00-07:00,387.43510659535724 A
2017-03-07T00:00:00-07:00,388.97831535339355 A
2017-03-08T00:00:00-07:00,398.6037899653117 A
2017-03-09T00:00:00-07:00,404.069619178772 A
2017-03-10T00:00:00-07:00,410.0899664560954 A
2017-03-11T00:00:00-07:00,383.3522837956746 A
2017-03-12T00:00:00-07:00,375.4945874421493 A
2017-03-13T00:00:00-06:00,437.92509174346924 A
2017-03-14T00:00:00-06:00,484.95740763346356 A
2017-03-15T00:00:00-06:00,559.178402264913 A
2017-03-16T00:00:00-06:00,593.7305539449056 A
2017-03-17T00:00:00-06:00,560.1986351013184 A
2017-03-18T00:00:00-06:00,533.544498125712 A
2017-03-19T00:00:00-06:00,518.4751335779825 A
2017-03-20T00:00:00-06:00,587.480457941691 A
2017-03-21T00:00:00-06:00,589.2146762212118 A
2017-03-22T00:00:00-06:00,568.4330495198568 A
2017-03-23T00:00:00-06:00,435.6583827336629 A
2017-03-24T00:00:00-06:00,471.28676414489746 A
2017-03-25T00:00:00-06:00,418.09447447458905 A
2017-03-26T00:00:00-06:00,408.8859742482503 A
2017-03-27T00:00:00-06:00,446.5280984242757 A
2017-03-28T00:00:00-06:00,453.5503149032593 A
2017-03-29T00:00:00-06:00,418.99230024549695 A
2017-03-30T00:00:00-06:00,408.70917426215277 A
2017-03-31T00:00:00-06:00,413.92830721537274 A
2017-04-01T00:00:00-06:00,413.94942982991535 A
2017-04-02T00:00:00-06:00,360.6442979176839 A
2017-04-03T00:00:00-06:00,395.508100827535 A
2017-04-04T00:00:00-06:00,389.2267551422119 A
2017-04-05T00:00:00-06:00,432.80259895324707 A
2017-04-06T00:00:00-06:00,469.5512580871582 A
2017-04-07T00:00:00-06:00,541.2889032363892 A
2017-04-08T00:00:00-06:00,395.0463218688965 A
2017-04-09T00:00:00-06:00,350.1524963378906 A
2017-04-10T00:00:00-06:00,449.7263520558675 A
2017-04-11T00:00:00-06:00,484.90289783477783 A
2017-04-12T00:00:00-06:00,518.5470959345499 A
2017-04-13T00:00:00-06:00,569.9666496912638 A
2017-04-14T00:00:00-06:00,426.73824723561603 A
2017-04-15T00:00:00-06:00,379.22282854715985 A
2017-04-16T00:00:00-06:00,447.74667994181317 A
2017-04-17T00:00:00-06:00,536.4166603088379 A
2017-04-18T00:00:00-06:00,514.0921169916788 A
2017-04-19T00:00:00-06:00,470.5489857991536 A
2017-04-20T00:00:00-06:00,429.2227096557617 A
2017-04-21T00:00:00-06:00,394.40200932820636 A
2017-04-22T00:00:00-06:00,440.1657597223918 A
2017-04-23T00:00:00-06:00,461.3990840911865 A
2017-04-24T00:00:00-06:00,408.89143227025085 A
2017-04-25T00:00:00-06:00,393.68667952219647 A
2017-04-26T00:00:00-06:00,410.05961004892987 A
2017-04-27T00:00:00-06:00,389.8613278071086 A
2017-04-28T00:00:00-06:00,386.34721660614014 A
2017-04-29T00:00:00-06:00,362.3677701950073 A
2017-04-30T00:00:00-06:00,435.68420855204266 A
2017-05-01T00:00:00-06:00,495.8842598597209 A
2017-05-02T00:00:00-06:00,502.7348413467407 A
2017-05-03T00:00:00-06:00,506.3809525171916 A
2017-05-04T00:00:00-06:00,542.5321261088053 A
2017-05-05T00:00:00-06:00,601.0832675298055 A
2017-05-06T00:00:00-06:00,566.4743026097616 A
2017-05-07T00:00:00-06:00,545.3419329325358 A
2017-05-08T00:00:00-06:00,586.6891679763794 A
2017-05-09T00:00:00-06:00,583.5897458394369 A
2017-05-10T00:00:00-06:00,587.6524457931519 A
2017-05-11T00:00:00-06:00,594.5653216044108 A
2017-05-12T00:00:00-06:00,605.3030433654785 A
2017-05-13T00:00:00-06:00,421.8358637491862 A
2017-05-14T00:00:00-06:00,457.0422954559326 A
2017-05-15T00:00:00-06:00,564.596575419108 A
2017-05-16T00:00:00-06:00,522.0286744435629 A
2017-05-17T00:00:00-06:00,405.7451769510905 A
2017-05-18T00:00:00-06:00,391.7351824442546 A
2017-05-19T00:00:00-06:00,444.08544603983563 A
2017-05-20T00:00:00-06:00,469.26910432179767 A
2017-05-21T00:00:00-06:00,509.1377286911011 A
2017-05-22T00:00:00-06:00,545.6543976465861 A
2017-05-23T00:00:00-06:00,584.5613959061473 A
2017-05-24T00:00:00-06:00,608.9930531183878 A
2017-05-25T00:00:00-06:00,584.8329706192017 A
2017-05-26T00:00:00-06:00,571.7521397272745 A
2017-05-27T00:00:00-06:00,470.39857531095805 A
2017-05-28T00:00:00-06:00,523.8947677612305 A
2017-05-29T00:00:00-06:00,547.3071972529093 A
2017-05-30T00:00:00-06:00,610.844230969747 A
2017-05-31T00:00:00-06:00,623.1627438863119 A
2017-06-01T00:00:00-06:00,619.3114217122396 A
2017-06-02T00:00:00-06:00,604.6946274439493 A
2017-06-03T00:00:00-06:00,570.7647323608398 A
2017-06-04T00:00:00-06:00,583.906520207723 A
2017-06-05T00:00:00-06:00,628.5483436584473 A
2017-06-06T00:00:00-06:00,626.0556271870931 A
2017-06-07T00:00:00-06:00,639.8341134389242 A
2017-06-08T00:00:00-06:00,633.2862962086996 A
2017-06-09T00:00:00-06:00,619.560001373291 A
2017-06-10T00:00:00-06:00,540.1489912668864 A
2017-06-11T00:00:00-06:00,549.4061768849691 A
2017-06-12T00:00:00-06:00,565.6355635325114 A
2017-06-13T00:00:00-06:00,487.5189291636149 A
2017-06-14T00:00:00-06:00,603.0067558288574 A
2017-06-15T00:00:00-06:00,611.4308074315389 A
2017-06-16T00:00:00-06:00,625.238528251648 A
2017-06-17T00:00:00-06:00,567.5269861221313 A
2017-06-18T00:00:00-06:00,526.2614084879557 A
2017-06-19T00:00:00-06:00,614.9015766779581 A
2017-06-20T00:00:00-06:00,651.0991465250651 A
2017-06-21T00:00:00-06:00,649.9551385243734 A
2017-06-22T00:00:00-06:00,637.5898965199789 A
2017-06-23T00:00:00-06:00,617.7070713043213 A
2017-06-24T00:00:00-06:00,581.1086457570394 A
2017-06-25T00:00:00-06:00,591.7594366073608 A
2017-06-26T00:00:00-06:00,646.4148705800375 A
2017-06-27T00:00:00-06:00,650.0786908467611 A
2017-06-28T00:00:00-06:00,641.7119331359863 A
2017-06-29T00:00:00-06:00,631.7588736216227 A
2017-06-30T00:00:00-06:00,632.5196666717529 A
2017-07-01T00:00:00-06:00,587.7536328633627 A
2017-07-02T00:00:00-06:00,598.603302637736 A
2017-07-03T00:00:00-06:00,634.0372950236002 A
2017-07-04T00:00:00-06:00,565.4658381144205 A
2017-07-05T00:00:00-06:00,620.4203084309896 A
2017-07-06T00:00:00-06:00,636.9287996292114 A
2017-07-07T00:00:00-06:00,669.5107526779175 A
2017-07-08T00:00:00-06:00,619.4657033284506 A
2017-07-09T00:00:00-06:00,614.2379035949707 A
2017-07-10T00:00:00-06:00,672.2850119272867 A
2017-07-11T00:00:00-06:00,668.6001097361246 A
2017-07-12T00:00:00-06:00,659.593469619751 A
2017-07-13T00:00:00-06:00,657.9373747507731 A
2017-07-14T00:00:00-06:00,654.8414103190104 A
2017-07-15T00:00:00-06:00,613.1401151021322 A
2017-07-16T00:00:00-06:00,613.1449228922526 A
2017-07-17T00:00:00-06:00,658.9446198145548 A
2017-07-18T00:00:00-06:00,670.3375619252523 A
2017-07-19T00:00:00-06:00,678.3032728830973 A
2017-07-20T00:00:00-06:00,675.613094329834 A
2017-07-21T00:00:00-06:00,665.9691727956136 A
2017-07-22T00:00:00-06:00,614.4791997273763 A
2017-07-23T00:00:00-06:00,603.7016894022623 A
2017-07-24T00:00:00-06:00,628.4200754165649 A
2017-07-25T00:00:00-06:00,669.7705014546713 A
2017-07-26T00:00:00-06:00,674.4643955230713 A
2017-07-27T00:00:00-06:00,647.1248531341553 A
2017-07-28T00:00:00-06:00,641.237897237142 A
2017-07-29T00:00:00-06:00,596.6234111785889 A
2017-07-30T00:00:00-06:00,599.8809121449789 A
2017-07-31T00:00:00-06:00,660.3156350453695 A
2017-08-01T00:00:00-06:00,662.4636669158936 A
2017-08-02T00:00:00-06:00,662.4865347544352 A
2017-08-03T00:00:00-06:00,664.250337600708 A
2017-08-04T00:00:00-06:00,657.8711246029361 A
2017-08-05T00:00:00-06:00,609.3209387461344 A
2017-08-06T00:00:00-06:00,598.4101155598959 A
2017-08-07T00:00:00-06:00,649.1593716939291 A
2017-08-08T00:00:00-06:00,641.2296021779379 A
2017-08-09T00:00:00-06:00,644.4527734120687 A
2017-08-10T00:00:00-06:00,638.7199570676114 A
2017-08-11T00:00:00-06:00,655.8959757486979 A
2017-08-12T00:00:00-06:00,610.2369403839111 A
2017-08-13T00:00:00-06:00,608.4896087646484 A
2017-08-14T00:00:00-06:00,649.5029570261637 A
2017-08-15T00:00:00-06:00,631.1019668579102 A
2017-08-16T00:00:00-06:00,622.4245093663534 A
2017-08-17T00:00:00-06:00,621.5462020238241 A
2017-08-18T00:00:00-06:00,634.1687577565511 A
2017-08-19T00:00:00-06:00,598.1963787078857 A
2017-08-20T00:00:00-06:00,601.9830106099447 A
2017-08-21T00:00:00-06:00,653.4352226257324 A
2017-08-22T00:00:00-06:00,652.5492045084635 A
2017-08-23T00:00:00-06:00,624.7565046946207 A
2017-08-24T00:00:00-06:00,577.8553365071615 A
2017-08-25T00:00:00-06:00,642.3901666005453 A
2017-08-26T00:00:00-06:00,598.8829536437988 A
2017-08-27T00:00:00-06:00,593.817489306132 A
2017-08-28T00:00:00-06:00,651.2031943279763 A
2017-08-29T00:00:00-06:00,641.9106812836021 A
2017-08-30T00:00:00-06:00,635.6464516321818 A
2017-08-31T00:00:00-06:00,623.1972306569418 A
2017-09-01T00:00:00-06:00,620.1217104593912 A
2017-09-02T00:00:00-06:00,573.9909718831381 A
2017-09-03T00:00:00-06:00,571.8753169377645 A
2017-09-04T00:00:00-06:00,590.8531586329142 A
2017-09-05T00:00:00-06:00,623.7804988225301 A
2017-09-06T00:00:00-06:00,628.2251927425987 A
2017-09-07T00:00:00-06:00,621.55295753479 A
2017-09-08T00:00:00-06:00,612.0968467310855 A
2017-09-09T00:00:00-06:00,561.6291977564493 A
2017-09-10T00:00:00-06:00,556.6200116475424 A
2017-09-11T00:00:00-06:00,614.0147682825724 A
2017-09-12T00:00:00-06:00,614.854681968689 A
2017-09-13T00:00:00-06:00,610.7305860519409 A
2017-09-14T00:00:00-06:00,595.6190055211385 A
2017-09-15T00:00:00-06:00,579.5877552032471 A
2017-09-16T00:00:00-06:00,487.90285142262775 A
2017-09-17T00:00:00-06:00,510.3100922902425 A
2017-09-18T00:00:00-06:00,617.7738971710205 A
2017-09-19T00:00:00-06:00,529.6143633524576 A
2017-09-20T00:00:00-06:00,527.7450462977091 A
2017-09-21T00:00:00-06:00,482.8289000193278 A
2017-09-22T00:00:00-06:00,390.83983008066815 A
2017-09-23T00:00:00-06:00,351.243356068929 A
2017-09-24T00:00:00-06:00,349.6247444152832 A
2017-09-25T00:00:00-06:00,445.6091324488322 A
2017-09-26T00:00:00-06:00,471.6065211245888 A
2017-09-27T00:00:00-06:00,527.5129760106405 A
2017-09-28T00:00:00-06:00,545.9370139439901 A
2017-09-29T00:00:00-06:00,560.6529839833578 A
2017-09-30T00:00:00-06:00,509.5485070546468 A
2017-10-01T00:00:00-06:00,398.75973542865955 A
2017-10-02T00:00:00-06:00,387.21151701609296 A
2017-10-03T00:00:00-06:00,448.76994291941327 A
2017-10-04T00:00:00-06:00,519.2310905456543 A
2017-10-05T00:00:00-06:00,447.1359201531661 A
2017-10-06T00:00:00-06:00,449.4904441833496 A
2017-10-07T00:00:00-06:00,455.6738799413045 A
2017-10-08T00:00:00-06:00,370.0987908045451 A
2017-10-09T00:00:00-06:00,401.0055281321208 A
2017-10-10T00:00:00-06:00,429.4848731358846 A
2017-10-11T00:00:00-06:00,484.7632751464844 A
2017-10-12T00:00:00-06:00,433.64828236897785 A
2017-10-13T00:00:00-06:00,439.5484619140625 A
2017-10-14T00:00:00-06:00,342.5933078130086 A
2017-10-15T00:00:00-06:00,366.41032632191974 A
2017-10-16T00:00:00-06:00,435.2359832127889 A
2017-10-17T00:00:00-06:00,470.79640611012775 A
2017-10-18T00:00:00-06:00,489.0861225128174 A
2017-10-19T00:00:00-06:00,508.09966945648193 A
2017-10-20T00:00:00-06:00,480.57650725046796 A
2017-10-21T00:00:00-06:00,345.21789932250977 A
2017-10-22T00:00:00-06:00,437.152600924174 A
2017-10-23T00:00:00-06:00,483.8145008087158 A
2017-10-24T00:00:00-06:00,445.90920956929523 A
2017-10-25T00:00:00-06:00,467.123220761617 A
2017-10-26T00:00:00-06:00,401.3081153233846 A
2017-10-27T00:00:00-06:00,390.2742576599121 A
2017-10-28T00:00:00-06:00,357.23209317525226 A
2017-10-29T00:00:00-06:00,360.5174684524536 A
2017-10-30T00:00:00-06:00,390.16327985127765 A
2017-10-31T00:00:00-06:00,383.25686772664386 A
2017-11-01T00:00:00-06:00,394.0719397862752 A
2017-11-02T00:00:00-06:00,399.28778648376465 A
2017-11-03T00:00:00-06:00,396.40165519714355 A
2017-11-04T00:00:00-06:00,359.1226113637288 A
2017-11-05T00:00:00-06:00,345.90749420166014 A
2017-11-06T00:00:00-07:00,382.5187864303589 A
2017-11-07T00:00:00-07:00,383.1803210576375 A
2017-11-08T00:00:00-07:00,383.1233367919922 A
2017-11-09T00:00:00-07:00,386.1060660680135 A
2017-11-10T00:00:00-07:00,385.8743311564128 A
2017-11-11T00:00:00-07:00,348.084046681722 A
2017-11-12T00:00:00-07:00,347.80362637837726 A
2017-11-13T00:00:00-07:00,389.85431543986004 A
2017-11-14T00:00:00-07:00,390.515648206075 A
2017-11-15T00:00:00-07:00,388.8838129043579 A
2017-11-16T00:00:00-07:00,398.35527515411377 A
2017-11-17T00:00:00-07:00,383.6523888905843 A
2017-11-18T00:00:00-07:00,225.01038074493408 A
2017-11-19T00:00:00-07:00,159.57580693562826 A
2017-11-20T00:00:00-07:00,198.25252644220987 A
2017-11-21T00:00:00-07:00,197.98129638036093 A
2017-11-22T00:00:00-07:00,194.03619122505188 A
2017-11-23T00:00:00-07:00,169.51707442601523 A
2017-11-24T00:00:00-07:00,167.4723215897878 A
2017-11-25T00:00:00-07:00,160.16548148790994 A
2017-11-26T00:00:00-07:00,163.13569029172263 A
2017-11-27T00:00:00-07:00,198.4026299317678 A
2017-11-28T00:00:00-07:00,200.31226420402527 A
2017-11-29T00:00:00-07:00,278.0876413186391 A
2017-11-30T00:00:00-07:00,383.27238845825195 A
2017-12-01T00:00:00-07:00,373.5901737213135 A
2017-12-02T00:00:00-07:00,341.97697766621906 A
2017-12-03T00:00:00-07:00,342.17040157318115 A
2017-12-04T00:00:00-07:00,382.0468413035075 A
2017-12-05T00:00:00-07:00,383.1747102737427 A
2017-12-06T00:00:00-07:00,387.33387502034503 A
2017-12-07T00:00:00-07:00,389.1791632970174 A
2017-12-08T00:00:00-07:00,385.761282602946 A
2017-12-09T00:00:00-07:00,350.4860080083211 A
2017-12-10T00:00:00-07:00,349.5137554804484 A
2017-12-11T00:00:00-07:00,392.29448827107746 A
2017-12-12T00:00:00-07:00,390.8590609232585 A
2017-12-13T00:00:00-07:00,394.705340385437 A
2017-12-14T00:00:00-07:00,389.51470534006756 A
2017-12-15T00:00:00-07:00,381.2819712956746 A
2017-12-16T00:00:00-07:00,350.96058559417725 A
2017-12-17T00:00:00-07:00,350.42125574747723 A
2017-12-18T00:00:00-07:00,385.7056359732023 A
2017-12-19T00:00:00-07:00,385.30037720998126 A
2017-12-20T00:00:00-07:00,380.9342346191406 A
2017-12-21T00:00:00-07:00,395.9609359105428 A
2017-12-22T00:00:00-07:00,382.83471870422363 A
2017-12-23T00:00:00-07:00,352.8283522923787 A
2017-12-24T00:00:00-07:00,359.9703006744385 A
2017-12-25T00:00:00-07:00,349.7428814570109 A
2017-12-26T00:00:00-07:00,351.434775352478 A
2017-12-27T00:00:00-07:00,379.17730712890625 A
2017-12-28T00:00:00-07:00,374.6052602132161 A
2017-12-29T00:00:00-07:00,348.46242173512775 A
2017-12-30T00:00:00-07:00,343.31950855255127 A
2017-12-31T00:00:00-07:00,340.93372440338135 A
