Timestamp,['1cac6e94-ebfa7e7c 0011-BROWNING BLDG Power Meter 311945 VOLT A-N']
2017-01-01T00:00:00-07:00,121.73521423339844 V
2017-01-02T00:00:00-07:00,121.73521423339844 V
2017-01-03T00:00:00-07:00,121.73521423339844 V
2017-01-04T00:00:00-07:00,121.73521423339844 V
2017-01-05T00:00:00-07:00,121.73521423339844 V
2017-01-06T00:00:00-07:00,121.73521423339844 V
2017-01-07T00:00:00-07:00,121.73521423339844 V
2017-01-08T00:00:00-07:00,121.73521423339844 V
2017-01-09T00:00:00-07:00,121.73521423339844 V
2017-01-10T00:00:00-07:00,121.73521423339844 V
2017-01-11T00:00:00-07:00,121.73521423339844 V
2017-01-12T00:00:00-07:00,121.73521423339844 V
2017-01-13T00:00:00-07:00,121.73521423339844 V
2017-01-14T00:00:00-07:00,121.73521423339844 V
2017-01-15T00:00:00-07:00,121.73521423339844 V
2017-01-16T00:00:00-07:00,121.73521423339844 V
2017-01-17T00:00:00-07:00,121.73521423339844 V
2017-01-18T00:00:00-07:00,122.17582062392206 V
2017-01-19T00:00:00-07:00,122.73052708837722 V
2017-01-20T00:00:00-07:00,122.88320594888755 V
2017-01-21T00:00:00-07:00,122.85929191907248 V
2017-01-22T00:00:00-07:00,122.69273997942607 V
2017-01-23T00:00:00-07:00,122.66472426520454 V
2017-01-24T00:00:00-07:00,122.7881847222646 V
2017-01-25T00:00:00-07:00,122.63167452282376 V
2017-01-26T00:00:00-07:00,122.68085399203831 V
2017-01-27T00:00:00-07:00,122.69691874186198 V
2017-01-28T00:00:00-07:00,122.69148518244425 V
2017-01-29T00:00:00-07:00,122.70641385714212 V
2017-01-30T00:00:00-07:00,122.84666745927599 V
2017-01-31T00:00:00-07:00,122.54763206375969 V
2017-02-01T00:00:00-07:00,122.70687120225695 V
2017-02-02T00:00:00-07:00,122.65501767264472 V
2017-02-03T00:00:00-07:00,122.64809835512163 V
2017-02-04T00:00:00-07:00,122.80718856387668 V
2017-02-05T00:00:00-07:00,122.6139684094323 V
2017-02-06T00:00:00-07:00,122.73793508211772 V
2017-02-07T00:00:00-07:00,122.79050553630813 V
2017-02-08T00:00:00-07:00,122.74662163040854 V
2017-02-09T00:00:00-07:00,122.75424889411423 V
2017-02-10T00:00:00-07:00,122.71757471826342 V
2017-02-11T00:00:00-07:00,122.8153081840939 V
2017-02-12T00:00:00-07:00,122.71126320627 V
2017-02-13T00:00:00-07:00,122.80376639508637 V
2017-02-14T00:00:00-07:00,122.85592282684156 V
2017-02-15T00:00:00-07:00,122.7803998152415 V
2017-02-16T00:00:00-07:00,122.73516533639696 V
2017-02-17T00:00:00-07:00,122.81798467106289 V
2017-02-18T00:00:00-07:00,122.81112306382921 V
2017-02-19T00:00:00-07:00,122.77663283348083 V
2017-02-20T00:00:00-07:00,122.65743770599366 V
2017-02-21T00:00:00-07:00,122.62493010626899 V
2017-02-22T00:00:00-07:00,122.75944204860264 V
2017-02-23T00:00:00-07:00,122.78364908430311 V
2017-02-24T00:00:00-07:00,122.78665339706728 V
2017-02-25T00:00:00-07:00,122.71215458975898 V
2017-02-26T00:00:00-07:00,122.88362030453152 V
2017-02-27T00:00:00-07:00,122.91914683977762 V
2017-02-28T00:00:00-07:00,122.76667097409566 V
2017-03-01T00:00:00-07:00,122.7792463991377 V
2017-03-02T00:00:00-07:00,122.76567538049486 V
2017-03-03T00:00:00-07:00,122.67152173254225 V
2017-03-04T00:00:00-07:00,122.79263446066115 V
2017-03-05T00:00:00-07:00,122.71986462275187 V
2017-03-06T00:00:00-07:00,122.68818695810106 V
2017-03-07T00:00:00-07:00,122.78717016643948 V
2017-03-08T00:00:00-07:00,122.80724352200826 V
2017-03-09T00:00:00-07:00,122.7865195327335 V
2017-03-10T00:00:00-07:00,122.80224379963344 V
2017-03-11T00:00:00-07:00,122.88836071226332 V
2017-03-12T00:00:00-07:00,122.81085092295771 V
2017-03-13T00:00:00-06:00,122.83312505616082 V
2017-03-14T00:00:00-06:00,122.78244578573438 V
2017-03-15T00:00:00-06:00,122.67411935064527 V
2017-03-16T00:00:00-06:00,122.90445737838745 V
2017-03-17T00:00:00-06:00,122.7260377407074 V
2017-03-18T00:00:00-06:00,122.82938752174377 V
2017-03-19T00:00:00-06:00,122.6318121963077 V
2017-03-20T00:00:00-06:00,122.58387615415785 V
2017-03-21T00:00:00-06:00,122.59890764554342 V
2017-03-22T00:00:00-06:00,122.69528633223639 V
2017-03-23T00:00:00-06:00,122.81277431911893 V
2017-03-24T00:00:00-06:00,122.94579994943408 V
2017-03-25T00:00:00-06:00,122.94545798301696 V
2017-03-26T00:00:00-06:00,122.69736547999912 V
2017-03-27T00:00:00-06:00,122.8218874666426 V
2017-03-28T00:00:00-06:00,123.00092449188233 V
2017-03-29T00:00:00-06:00,122.89212833329603 V
2017-03-30T00:00:00-06:00,122.78508541531033 V
2017-03-31T00:00:00-06:00,122.8903831322988 V
2017-04-01T00:00:00-06:00,123.01145156224568 V
2017-04-02T00:00:00-06:00,123.02043452262879 V
2017-04-03T00:00:00-06:00,122.84403956201342 V
2017-04-04T00:00:00-06:00,122.92948523627388 V
2017-04-05T00:00:00-06:00,122.8177629929756 V
2017-04-06T00:00:00-06:00,122.75952679846021 V
2017-04-07T00:00:00-06:00,122.8703069527944 V
2017-04-08T00:00:00-06:00,122.99073561032613 V
2017-04-09T00:00:00-06:00,123.03530070516798 V
2017-04-10T00:00:00-06:00,122.92147994041443 V
2017-04-11T00:00:00-06:00,122.89990729226007 V
2017-04-12T00:00:00-06:00,122.72438538869223 V
2017-04-13T00:00:00-06:00,122.67579249248054 V
2017-04-14T00:00:00-06:00,122.9052640385098 V
2017-04-15T00:00:00-06:00,122.73091561832388 V
2017-04-16T00:00:00-06:00,123.13490617764005 V
2017-04-17T00:00:00-06:00,122.8887777209116 V
2017-04-18T00:00:00-06:00,122.79920443958706 V
2017-04-19T00:00:00-06:00,122.79606801668803 V
2017-04-20T00:00:00-06:00,122.9733120918274 V
2017-04-21T00:00:00-06:00,122.84887116750082 V
2017-04-22T00:00:00-06:00,122.90736345185174 V
2017-04-23T00:00:00-06:00,122.87907892862955 V
2017-04-24T00:00:00-06:00,123.01446089214748 V
2017-04-25T00:00:00-06:00,122.90927174356248 V
2017-04-26T00:00:00-06:00,122.83683307639753 V
2017-04-27T00:00:00-06:00,123.0094624268172 V
2017-04-28T00:00:00-06:00,122.84178074730767 V
2017-04-29T00:00:00-06:00,123.0215717792511 V
2017-04-30T00:00:00-06:00,122.83934928046332 V
2017-05-01T00:00:00-06:00,122.78302138646444 V
2017-05-02T00:00:00-06:00,122.74802559746637 V
2017-05-03T00:00:00-06:00,122.81480248239305 V
2017-05-04T00:00:00-06:00,122.82752946747674 V
2017-05-05T00:00:00-06:00,122.84972564379375 V
2017-05-06T00:00:00-06:00,122.82583472993639 V
2017-05-07T00:00:00-06:00,122.79903875986734 V
2017-05-08T00:00:00-06:00,122.75966062719658 V
2017-05-09T00:00:00-06:00,122.7947377787696 V
2017-05-10T00:00:00-06:00,122.76617347340853 V
2017-05-11T00:00:00-06:00,122.55784032210614 V
2017-05-12T00:00:00-06:00,122.7809473214007 V
2017-05-13T00:00:00-06:00,122.94316728285736 V
2017-05-14T00:00:00-06:00,122.63656884829203 V
2017-05-15T00:00:00-06:00,122.63133000797696 V
2017-05-16T00:00:00-06:00,122.76358404159546 V
2017-05-17T00:00:00-06:00,122.85445876121521 V
2017-05-18T00:00:00-06:00,122.69335165023804 V
2017-05-19T00:00:00-06:00,122.88774516847398 V
2017-05-20T00:00:00-06:00,122.77038613425361 V
2017-05-21T00:00:00-06:00,122.7068161699507 V
2017-05-22T00:00:00-06:00,122.72564747103226 V
2017-05-23T00:00:00-06:00,122.60612354808383 V
2017-05-24T00:00:00-06:00,122.7005436261495 V
2017-05-25T00:00:00-06:00,122.67316278881496 V
2017-05-26T00:00:00-06:00,122.71920135286119 V
2017-05-27T00:00:00-06:00,122.77173013157315 V
2017-05-28T00:00:00-06:00,122.80755372408615 V
2017-05-29T00:00:00-06:00,122.75873540772332 V
2017-05-30T00:00:00-06:00,122.78555963834127 V
2017-05-31T00:00:00-06:00,122.62209916644626 V
2017-06-01T00:00:00-06:00,122.77486191325717 V
2017-06-02T00:00:00-06:00,122.57646859486898 V
2017-06-03T00:00:00-06:00,122.76309285693698 V
2017-06-04T00:00:00-06:00,122.71319520166966 V
2017-06-05T00:00:00-06:00,122.68614658249749 V
2017-06-06T00:00:00-06:00,122.68761447272921 V
2017-06-07T00:00:00-06:00,122.63892550597679 V
2017-06-08T00:00:00-06:00,122.76631208525764 V
2017-06-09T00:00:00-06:00,122.67251113127601 V
2017-06-10T00:00:00-06:00,122.6936654302809 V
2017-06-11T00:00:00-06:00,122.69027038150364 V
2017-06-12T00:00:00-06:00,122.76536634233263 V
2017-06-13T00:00:00-06:00,122.69638811217413 V
2017-06-14T00:00:00-06:00,122.5819172276391 V
2017-06-15T00:00:00-06:00,122.56664752430386 V
2017-06-16T00:00:00-06:00,122.58885814878676 V
2017-06-17T00:00:00-06:00,122.68586037423876 V
2017-06-18T00:00:00-06:00,122.71255296071371 V
2017-06-19T00:00:00-06:00,122.61815953784519 V
2017-06-20T00:00:00-06:00,122.58949316898264 V
2017-06-21T00:00:00-06:00,122.60887185202705 V
2017-06-22T00:00:00-06:00,122.73515111075507 V
2017-06-23T00:00:00-06:00,122.5821392650485 V
2017-06-24T00:00:00-06:00,122.7000418610043 V
2017-06-25T00:00:00-06:00,122.80295395851135 V
2017-06-26T00:00:00-06:00,122.54786277065847 V
2017-06-27T00:00:00-06:00,122.64462899631924 V
2017-06-28T00:00:00-06:00,122.5982436974733 V
2017-06-29T00:00:00-06:00,122.68303510229815 V
2017-06-30T00:00:00-06:00,122.68619297875298 V
2017-07-01T00:00:00-06:00,122.75241244633993 V
2017-07-02T00:00:00-06:00,122.83516556951734 V
2017-07-03T00:00:00-06:00,122.71041890780131 V
2017-07-04T00:00:00-06:00,122.84382229381137 V
2017-07-05T00:00:00-06:00,122.74548286861844 V
2017-07-06T00:00:00-06:00,122.6692238383823 V
2017-07-07T00:00:00-06:00,122.68055714479154 V
2017-07-08T00:00:00-06:00,122.63376850345702 V
2017-07-09T00:00:00-06:00,122.65188546710544 V
2017-07-10T00:00:00-06:00,122.62727147738138 V
2017-07-11T00:00:00-06:00,122.69819553693135 V
2017-07-12T00:00:00-06:00,122.75149035453796 V
2017-07-13T00:00:00-06:00,122.87109846538968 V
2017-07-14T00:00:00-06:00,122.75597288744505 V
2017-07-15T00:00:00-06:00,122.80104907883538 V
2017-07-16T00:00:00-06:00,122.7849091053009 V
2017-07-17T00:00:00-06:00,122.74885295761956 V
2017-07-18T00:00:00-06:00,122.7520142396291 V
2017-07-19T00:00:00-06:00,122.74483136885526 V
2017-07-20T00:00:00-06:00,122.7479990641276 V
2017-07-21T00:00:00-06:00,122.67917277548048 V
2017-07-22T00:00:00-06:00,122.75673099753756 V
2017-07-23T00:00:00-06:00,122.8452386909061 V
2017-07-24T00:00:00-06:00,122.906708299161 V
2017-07-25T00:00:00-06:00,122.72763985527887 V
2017-07-26T00:00:00-06:00,122.65143763347994 V
2017-07-27T00:00:00-06:00,122.7190026919047 V
2017-07-28T00:00:00-06:00,122.65613928358479 V
2017-07-29T00:00:00-06:00,122.67928068372939 V
2017-07-30T00:00:00-06:00,122.80336765183343 V
2017-07-31T00:00:00-06:00,122.80672566703494 V
2017-08-01T00:00:00-06:00,122.72310362200177 V
2017-08-02T00:00:00-06:00,122.55171902974446 V
2017-08-03T00:00:00-06:00,122.50568901167975 V
2017-08-04T00:00:00-06:00,122.57648877413347 V
2017-08-05T00:00:00-06:00,122.69359579086304 V
2017-08-06T00:00:00-06:00,122.71339047749838 V
2017-08-07T00:00:00-06:00,122.56187209553188 V
2017-08-08T00:00:00-06:00,122.57297814687094 V
2017-08-09T00:00:00-06:00,122.6033188449012 V
2017-08-10T00:00:00-06:00,122.59183096378408 V
2017-08-11T00:00:00-06:00,122.69656915134854 V
2017-08-12T00:00:00-06:00,122.76196910540263 V
2017-08-13T00:00:00-06:00,122.88189455138313 V
2017-08-14T00:00:00-06:00,122.78862047725254 V
2017-08-15T00:00:00-06:00,122.78708555433485 V
2017-08-16T00:00:00-06:00,122.66810705396864 V
2017-08-17T00:00:00-06:00,122.7272957748837 V
2017-08-18T00:00:00-06:00,122.7550665166643 V
2017-08-19T00:00:00-06:00,122.83216919369168 V
2017-08-20T00:00:00-06:00,122.87373198933072 V
2017-08-21T00:00:00-06:00,122.81206176545885 V
2017-08-22T00:00:00-06:00,122.70622628000048 V
2017-08-23T00:00:00-06:00,122.74260177082486 V
2017-08-24T00:00:00-06:00,122.66960202852884 V
2017-08-25T00:00:00-06:00,122.63900883992513 V
2017-08-26T00:00:00-06:00,122.62270319196912 V
2017-08-27T00:00:00-06:00,122.66954943436231 V
2017-08-28T00:00:00-06:00,122.60880448161691 V
2017-08-29T00:00:00-06:00,122.64793467808512 V
2017-08-30T00:00:00-06:00,122.69704286257426 V
2017-08-31T00:00:00-06:00,122.7453309059143 V
2017-09-01T00:00:00-06:00,122.66804541481866 V
2017-09-02T00:00:00-06:00,122.69333924717374 V
2017-09-03T00:00:00-06:00,122.79362387657166 V
2017-09-04T00:00:00-06:00,122.64591116905213 V
2017-09-05T00:00:00-06:00,122.63150976498922 V
2017-09-06T00:00:00-06:00,122.65843368986869 V
2017-09-07T00:00:00-06:00,122.61236542575139 V
2017-09-08T00:00:00-06:00,122.76958679135151 V
2017-09-09T00:00:00-06:00,122.74730990727743 V
2017-09-10T00:00:00-06:00,122.81963398721483 V
2017-09-11T00:00:00-06:00,122.60455318556892 V
2017-09-12T00:00:00-06:00,122.81442549493578 V
2017-09-13T00:00:00-06:00,122.65389902326795 V
2017-09-14T00:00:00-06:00,122.79027207162645 V
2017-09-15T00:00:00-06:00,122.7705101453239 V
2017-09-16T00:00:00-06:00,122.93583681321442 V
2017-09-17T00:00:00-06:00,122.66108469270516 V
2017-09-18T00:00:00-06:00,122.81255000962152 V
2017-09-19T00:00:00-06:00,122.64473170704312 V
2017-09-20T00:00:00-06:00,122.76566351254782 V
2017-09-21T00:00:00-06:00,122.84096432791816 V
2017-09-22T00:00:00-06:00,122.80474910206264 V
2017-09-23T00:00:00-06:00,122.87905344963073 V
2017-09-24T00:00:00-06:00,122.75377456876967 V
2017-09-25T00:00:00-06:00,122.932994556427 V
2017-09-26T00:00:00-06:00,122.73541962835523 V
2017-09-27T00:00:00-06:00,122.74965640174018 V
2017-09-28T00:00:00-06:00,122.57083866843091 V
2017-09-29T00:00:00-06:00,122.61687676641677 V
2017-09-30T00:00:00-06:00,122.71370082534462 V
2017-10-01T00:00:00-06:00,122.69460309876337 V
2017-10-02T00:00:00-06:00,122.74609741634792 V
2017-10-03T00:00:00-06:00,122.76773991584778 V
2017-10-04T00:00:00-06:00,122.57119078762176 V
2017-10-05T00:00:00-06:00,122.73143304718866 V
2017-10-06T00:00:00-06:00,122.65860127343072 V
2017-10-07T00:00:00-06:00,122.65909476810032 V
2017-10-08T00:00:00-06:00,122.79081165525648 V
2017-10-09T00:00:00-06:00,122.65053325597407 V
2017-10-10T00:00:00-06:00,122.78144727812872 V
2017-10-11T00:00:00-06:00,122.55063293245104 V
2017-10-12T00:00:00-06:00,122.7632453335656 V
2017-10-13T00:00:00-06:00,122.71447654761234 V
2017-10-14T00:00:00-06:00,122.72221539399953 V
2017-10-15T00:00:00-06:00,122.74048564698961 V
2017-10-16T00:00:00-06:00,122.85343965446891 V
2017-10-17T00:00:00-06:00,122.788235057966 V
2017-10-18T00:00:00-06:00,122.74494813115275 V
2017-10-19T00:00:00-06:00,122.79302859836154 V
2017-10-20T00:00:00-06:00,122.74338725937737 V
2017-10-21T00:00:00-06:00,122.73030505710177 V
2017-10-22T00:00:00-06:00,122.7413200961219 V
2017-10-23T00:00:00-06:00,122.68838855425517 V
2017-10-24T00:00:00-06:00,122.63162275950114 V
2017-10-25T00:00:00-06:00,122.6633277522193 V
2017-10-26T00:00:00-06:00,122.74921620828232 V
2017-10-27T00:00:00-06:00,122.77274491522047 V
2017-10-28T00:00:00-06:00,122.66740634857241 V
2017-10-29T00:00:00-06:00,122.80864215956794 V
2017-10-30T00:00:00-06:00,122.81128414471944 V
2017-10-31T00:00:00-06:00,122.78176363309224 V
2017-11-01T00:00:00-06:00,122.79430481062995 V
2017-11-02T00:00:00-06:00,122.80177545547485 V
2017-11-03T00:00:00-06:00,122.69959649509853 V
2017-11-04T00:00:00-06:00,122.79769746462505 V
2017-11-05T00:00:00-06:00,122.68500976053873 V
2017-11-06T00:00:00-07:00,122.65757023493448 V
2017-11-07T00:00:00-07:00,122.58907386461894 V
2017-11-08T00:00:00-07:00,122.65727000236511 V
2017-11-09T00:00:00-07:00,122.84091595543755 V
2017-11-10T00:00:00-07:00,122.81427378124661 V
2017-11-11T00:00:00-07:00,122.63237815962897 V
2017-11-12T00:00:00-07:00,122.74769503275553 V
2017-11-13T00:00:00-07:00,122.79521137873331 V
2017-11-14T00:00:00-07:00,123.02943148612977 V
2017-11-15T00:00:00-07:00,122.71522285673353 V
2017-11-16T00:00:00-07:00,122.67265274758303 V
2017-11-17T00:00:00-07:00,122.77247986263698 V
2017-11-18T00:00:00-07:00,122.81497297359888 V
2017-11-19T00:00:00-07:00,122.85795961485968 V
2017-11-20T00:00:00-07:00,122.723878648546 V
2017-11-21T00:00:00-07:00,122.69169735908508 V
2017-11-22T00:00:00-07:00,122.6568016105228 V
2017-11-23T00:00:00-07:00,122.88604329427083 V
2017-11-24T00:00:00-07:00,122.83371605783638 V
2017-11-25T00:00:00-07:00,122.66981652047899 V
2017-11-26T00:00:00-07:00,122.81169367896186 V
2017-11-27T00:00:00-07:00,122.68117318153381 V
2017-11-28T00:00:00-07:00,122.70158176422119 V
2017-11-29T00:00:00-07:00,122.78146760728625 V
2017-11-30T00:00:00-07:00,122.8270157178243 V
2017-12-01T00:00:00-07:00,122.6470947795444 V
2017-12-02T00:00:00-07:00,122.7371154361301 V
2017-12-03T00:00:00-07:00,122.73451269997491 V
2017-12-04T00:00:00-07:00,122.80357948939006 V
2017-12-05T00:00:00-07:00,122.67282037205166 V
2017-12-06T00:00:00-07:00,122.51780111524793 V
2017-12-07T00:00:00-07:00,122.57555649015639 V
2017-12-08T00:00:00-07:00,122.63618637190925 V
2017-12-09T00:00:00-07:00,122.78174532254538 V
2017-12-10T00:00:00-07:00,122.77954348801572 V
2017-12-11T00:00:00-07:00,122.85637774467469 V
2017-12-12T00:00:00-07:00,122.68206401925757 V
2017-12-13T00:00:00-07:00,123.02152616966094 V
2017-12-14T00:00:00-07:00,122.86945408715142 V
2017-12-15T00:00:00-07:00,122.8110341972775 V
2017-12-16T00:00:00-07:00,122.888164557351 V
2017-12-17T00:00:00-07:00,122.8903964307573 V
2017-12-18T00:00:00-07:00,122.92508337293353 V
2017-12-19T00:00:00-07:00,122.80805088678996 V
2017-12-20T00:00:00-07:00,122.79594310577583 V
2017-12-21T00:00:00-07:00,122.87304979960123 V
2017-12-22T00:00:00-07:00,122.91595667203268 V
2017-12-23T00:00:00-07:00,122.77659158176846 V
2017-12-24T00:00:00-07:00,122.99156625535753 V
2017-12-25T00:00:00-07:00,122.91151423454285 V
2017-12-26T00:00:00-07:00,122.9472222328186 V
2017-12-27T00:00:00-07:00,122.9330436123742 V
2017-12-28T00:00:00-07:00,122.91112300025092 V
2017-12-29T00:00:00-07:00,122.7894615703159 V
2017-12-30T00:00:00-07:00,122.8178554005093 V
2017-12-31T00:00:00-07:00,122.85700471836962 V
