Timestamp,['1cd6842a-1e36883c Power Meter (HV) (316610) Voltage B-C']
2017-02-08T00:00:00-07:00,484.75 V
2017-02-09T00:00:00-07:00,484.8333333333333 V
2017-02-10T00:00:00-07:00,484.09090909090907 V
2017-02-11T00:00:00-07:00,485.125 V
2017-02-12T00:00:00-07:00,484.75 V
2017-02-13T00:00:00-07:00,485.46666666666664 V
2017-02-14T00:00:00-07:00,485.3636363636364 V
2017-02-15T00:00:00-07:00,485.55555555555554 V
2017-02-16T00:00:00-07:00,484.6 V
2017-02-17T00:00:00-07:00,485.375 V
2017-02-18T00:00:00-07:00,485 V
2017-02-19T00:00:00-07:00,486 V
2017-02-20T00:00:00-07:00,484 V
2017-02-21T00:00:00-07:00,484.4 V
2017-02-22T00:00:00-07:00,484.38461538461536 V
2017-02-23T00:00:00-07:00,485.1666666666667 V
2017-02-24T00:00:00-07:00,483.45454545454544 V
2017-02-25T00:00:00-07:00,485.57142857142856 V
2017-02-26T00:00:00-07:00,486 V
2017-02-27T00:00:00-07:00,483.3333333333333 V
2017-02-28T00:00:00-07:00,483 V
2017-03-01T00:00:00-07:00,484.5 V
2017-03-02T00:00:00-07:00,482.6666666666667 V
2017-03-03T00:00:00-07:00,485.3636363636364 V
2017-03-04T00:00:00-07:00,485.7 V
2017-03-05T00:00:00-07:00,484.875 V
2017-03-06T00:00:00-07:00,485.5 V
2017-03-07T00:00:00-07:00,483.5 V
2017-03-08T00:00:00-07:00,485.1818181818182 V
2017-03-09T00:00:00-07:00,485 V
2017-03-10T00:00:00-07:00,484.92857142857144 V
2017-03-11T00:00:00-07:00,483.4 V
2017-03-12T00:00:00-07:00,483.6666666666667 V
2017-03-13T00:00:00-06:00,483.57142857142856 V
2017-03-14T00:00:00-06:00,483.50602409638554 V
2017-03-15T00:00:00-06:00,482.7469879518072 V
2017-03-16T00:00:00-06:00,483.25882352941176 V
2017-03-17T00:00:00-06:00,483.03846153846155 V
2017-03-18T00:00:00-06:00,483.75324675324674 V
2017-03-19T00:00:00-06:00,483.2705882352941 V
2017-03-20T00:00:00-06:00,482.3855421686747 V
2017-03-21T00:00:00-06:00,482.35616438356163 V
2017-03-22T00:00:00-06:00,482.775 V
2017-03-23T00:00:00-06:00,483.71590909090907 V
2017-03-24T00:00:00-06:00,483.8735632183908 V
2017-03-25T00:00:00-06:00,484.3243243243243 V
2017-03-26T00:00:00-06:00,483.54117647058825 V
2017-03-27T00:00:00-06:00,483.725 V
2017-03-28T00:00:00-06:00,483.77777777777777 V
2017-03-29T00:00:00-06:00,483.3492063492063 V
2017-03-30T00:00:00-06:00,483.5 V
2017-03-31T00:00:00-06:00,483.4320987654321 V
2017-04-01T00:00:00-06:00,483.91764705882355 V
2017-04-02T00:00:00-06:00,484.4047619047619 V
2017-04-03T00:00:00-06:00,483.46835443037975 V
2017-04-04T00:00:00-06:00,483.4875 V
2017-04-05T00:00:00-06:00,482.66265060240966 V
2017-04-06T00:00:00-06:00,481.3703703703704 V
2017-04-07T00:00:00-06:00,481.9294117647059 V
2017-04-08T00:00:00-06:00,482.8333333333333 V
2017-04-09T00:00:00-06:00,482.97222222222223 V
2017-04-10T00:00:00-06:00,482.3068181818182 V
2017-04-11T00:00:00-06:00,482.43617021276594 V
2017-04-12T00:00:00-06:00,481.7291666666667 V
2017-04-13T00:00:00-06:00,481.8541666666667 V
2017-04-14T00:00:00-06:00,482.032967032967 V
2017-04-15T00:00:00-06:00,481.71084337349396 V
2017-04-16T00:00:00-06:00,483.5897435897436 V
2017-04-17T00:00:00-06:00,482.39285714285717 V
2017-04-18T00:00:00-06:00,481.82758620689657 V
2017-04-19T00:00:00-06:00,482.031746031746 V
2017-04-20T00:00:00-06:00,482.24657534246575 V
2017-04-21T00:00:00-06:00,481.2988505747126 V
2017-04-22T00:00:00-06:00,482.4651162790698 V
2017-04-23T00:00:00-06:00,481.69662921348316 V
2017-04-24T00:00:00-06:00,482.8131868131868 V
2017-04-25T00:00:00-06:00,482.6559139784946 V
2017-04-26T00:00:00-06:00,482.2168674698795 V
2017-04-27T00:00:00-06:00,483.27710843373495 V
2017-04-28T00:00:00-06:00,482.8292682926829 V
2017-04-29T00:00:00-06:00,483.02564102564105 V
2017-04-30T00:00:00-06:00,481.9782608695652 V
2017-05-01T00:00:00-06:00,481.56976744186045 V
2017-05-02T00:00:00-06:00,481.54545454545456 V
2017-05-03T00:00:00-06:00,483.27710843373495 V
2017-05-04T00:00:00-06:00,482.36619718309856 V
2017-05-05T00:00:00-06:00,481.51190476190476 V
2017-05-06T00:00:00-06:00,481.85869565217394 V
2017-05-07T00:00:00-06:00,481.9010989010989 V
2017-05-08T00:00:00-06:00,481.56470588235294 V
2017-05-09T00:00:00-06:00,481.8735632183908 V
2017-05-10T00:00:00-06:00,481.4512195121951 V
2017-05-11T00:00:00-06:00,480.95348837209303 V
2017-05-12T00:00:00-06:00,481.3888888888889 V
2017-05-13T00:00:00-06:00,483.18390804597703 V
2017-05-14T00:00:00-06:00,482.44303797468353 V
2017-05-15T00:00:00-06:00,481.1860465116279 V
2017-05-16T00:00:00-06:00,481.85393258426967 V
2017-05-17T00:00:00-06:00,484.80232558139534 V
2017-05-18T00:00:00-06:00,485.5164835164835 V
2017-05-19T00:00:00-06:00,486.08641975308643 V
2017-05-20T00:00:00-06:00,484.9759036144578 V
2017-05-21T00:00:00-06:00,483.8588235294118 V
2017-05-22T00:00:00-06:00,484.1927710843373 V
2017-05-23T00:00:00-06:00,482.8666666666667 V
2017-05-24T00:00:00-06:00,483.1012658227848 V
2017-05-25T00:00:00-06:00,484.13793103448273 V
2017-05-26T00:00:00-06:00,484.0112359550562 V
2017-05-27T00:00:00-06:00,485.3010752688172 V
2017-05-28T00:00:00-06:00,484.09302325581393 V
2017-05-29T00:00:00-06:00,483.38947368421054 V
2017-05-30T00:00:00-06:00,482.42857142857144 V
2017-05-31T00:00:00-06:00,482.22093023255815 V
2017-06-01T00:00:00-06:00,484.17241379310343 V
2017-06-02T00:00:00-06:00,483.7368421052632 V
2017-06-03T00:00:00-06:00,483.3728813559322 V
2017-06-04T00:00:00-06:00,482.53246753246754 V
2017-06-05T00:00:00-06:00,483.4102564102564 V
2017-06-06T00:00:00-06:00,483.0595238095238 V
2017-06-07T00:00:00-06:00,482.82608695652175 V
2017-06-08T00:00:00-06:00,483.30434782608694 V
2017-06-09T00:00:00-06:00,483.4567901234568 V
2017-06-10T00:00:00-06:00,484.01162790697674 V
2017-06-11T00:00:00-06:00,484.089552238806 V
2017-06-12T00:00:00-06:00,484.34328358208955 V
2017-06-13T00:00:00-06:00,484.97727272727275 V
2017-06-14T00:00:00-06:00,483.1830985915493 V
2017-06-15T00:00:00-06:00,483.34375 V
2017-06-16T00:00:00-06:00,483.1194029850746 V
2017-06-17T00:00:00-06:00,483.34328358208955 V
2017-06-18T00:00:00-06:00,484.7888888888889 V
2017-06-19T00:00:00-06:00,482.8974358974359 V
2017-06-20T00:00:00-06:00,481.58666666666664 V
2017-06-21T00:00:00-06:00,482.25 V
2017-06-22T00:00:00-06:00,483.2857142857143 V
2017-06-23T00:00:00-06:00,483.42857142857144 V
2017-06-24T00:00:00-06:00,483.7325581395349 V
2017-06-25T00:00:00-06:00,483.56666666666666 V
2017-06-26T00:00:00-06:00,482.320987654321 V
2017-06-27T00:00:00-06:00,483.13483146067415 V
2017-06-28T00:00:00-06:00,483.2375 V
2017-06-29T00:00:00-06:00,483.8072289156627 V
2017-06-30T00:00:00-06:00,483.45054945054943 V
2017-07-01T00:00:00-06:00,483.26666666666665 V
2017-07-02T00:00:00-06:00,483.05555555555554 V
2017-07-03T00:00:00-06:00,482.46153846153845 V
2017-07-04T00:00:00-06:00,483.03333333333336 V
2017-07-05T00:00:00-06:00,482.1046511627907 V
2017-07-06T00:00:00-06:00,483.8125 V
2017-07-07T00:00:00-06:00,481.11764705882354 V
2017-07-08T00:00:00-06:00,482.1666666666667 V
2017-07-09T00:00:00-06:00,481.5 V
2017-07-10T00:00:00-06:00,484 V
2017-07-11T00:00:00-06:00,483.5 V
2017-07-12T00:00:00-06:00,483.1666666666667 V
2017-07-14T00:00:00-06:00,482.4 V
2017-07-15T00:00:00-06:00,483.6875 V
2017-07-16T00:00:00-06:00,482 V
2017-07-17T00:00:00-06:00,482.3333333333333 V
2017-07-18T00:00:00-06:00,482.5 V
2017-07-19T00:00:00-06:00,482.7142857142857 V
2017-07-20T00:00:00-06:00,482.3636363636364 V
2017-07-21T00:00:00-06:00,482.4375 V
2017-07-22T00:00:00-06:00,482.6578947368421 V
2017-07-23T00:00:00-06:00,484 V
2017-07-24T00:00:00-06:00,482.125 V
2017-07-25T00:00:00-06:00,481.8333333333333 V
2017-07-26T00:00:00-06:00,482.5 V
2017-07-27T00:00:00-06:00,483 V
2017-07-28T00:00:00-06:00,483 V
2017-07-29T00:00:00-06:00,483.3333333333333 V
2017-07-30T00:00:00-06:00,483 V
2017-07-31T00:00:00-06:00,483.75 V
2017-08-01T00:00:00-06:00,482.5769230769231 V
2017-08-02T00:00:00-06:00,482.57142857142856 V
2017-08-03T00:00:00-06:00,482 V
2017-08-04T00:00:00-06:00,481 V
2017-08-05T00:00:00-06:00,483.25 V
2017-08-06T00:00:00-06:00,483 V
2017-08-07T00:00:00-06:00,482.8 V
2017-08-08T00:00:00-06:00,483.375 V
2017-08-09T00:00:00-06:00,483.3636363636364 V
2017-08-10T00:00:00-06:00,481.75 V
2017-08-11T00:00:00-06:00,483 V
2017-08-12T00:00:00-06:00,482.4375 V
2017-08-13T00:00:00-06:00,484.3333333333333 V
2017-08-14T00:00:00-06:00,483 V
2017-08-15T00:00:00-06:00,484.5 V
2017-08-16T00:00:00-06:00,482.6666666666667 V
2017-08-17T00:00:00-06:00,482.3333333333333 V
2017-08-18T00:00:00-06:00,483.875 V
2017-08-19T00:00:00-06:00,483.3333333333333 V
2017-08-20T00:00:00-06:00,484.44444444444446 V
2017-08-21T00:00:00-06:00,483.25 V
2017-08-22T00:00:00-06:00,482.6 V
2017-08-23T00:00:00-06:00,482.7142857142857 V
2017-08-24T00:00:00-06:00,482.55555555555554 V
2017-08-25T00:00:00-06:00,482 V
2017-08-26T00:00:00-06:00,481.75 V
2017-08-27T00:00:00-06:00,483 V
2017-08-28T00:00:00-06:00,482.7857142857143 V
2017-08-29T00:00:00-06:00,483.75 V
2017-08-30T00:00:00-06:00,482 V
2017-08-31T00:00:00-06:00,483.14285714285717 V
2017-09-01T00:00:00-06:00,482.8888888888889 V
2017-09-02T00:00:00-06:00,484.42857142857144 V
2017-09-03T00:00:00-06:00,483.6666666666667 V
2017-09-04T00:00:00-06:00,482.5625 V
2017-09-05T00:00:00-06:00,482.35 V
2017-09-06T00:00:00-06:00,483.3333333333333 V
2017-09-07T00:00:00-06:00,483.42857142857144 V
2017-09-08T00:00:00-06:00,483.44444444444446 V
2017-09-09T00:00:00-06:00,484.5 V
2017-09-10T00:00:00-06:00,486 V
2017-09-11T00:00:00-06:00,483.3333333333333 V
2017-09-12T00:00:00-06:00,485.4 V
2017-09-13T00:00:00-06:00,482.875 V
2017-09-14T00:00:00-06:00,484.5 V
2017-09-15T00:00:00-06:00,484.8333333333333 V
2017-09-16T00:00:00-06:00,485.3 V
2017-09-17T00:00:00-06:00,484.27272727272725 V
2017-09-18T00:00:00-06:00,484.2857142857143 V
2017-09-19T00:00:00-06:00,484 V
2017-09-20T00:00:00-06:00,484.57142857142856 V
2017-09-21T00:00:00-06:00,484.6666666666667 V
2017-09-22T00:00:00-06:00,485.8888888888889 V
2017-09-23T00:00:00-06:00,485.5 V
2017-09-24T00:00:00-06:00,484.90909090909093 V
2017-09-25T00:00:00-06:00,484.75 V
2017-09-26T00:00:00-06:00,483.75 V
2017-09-27T00:00:00-06:00,482 V
2017-09-28T00:00:00-06:00,483.6666666666667 V
2017-09-29T00:00:00-06:00,483.4 V
2017-09-30T00:00:00-06:00,485 V
2017-10-01T00:00:00-06:00,485 V
2017-10-02T00:00:00-06:00,485.22222222222223 V
2017-10-03T00:00:00-06:00,485.44444444444446 V
2017-10-04T00:00:00-06:00,484.42857142857144 V
2017-10-05T00:00:00-06:00,485.375 V
2017-10-06T00:00:00-06:00,485.2352941176471 V
2017-10-07T00:00:00-06:00,484.57142857142856 V
2017-10-08T00:00:00-06:00,485.6666666666667 V
2017-10-09T00:00:00-06:00,485.3333333333333 V
2017-10-10T00:00:00-06:00,484.3783783783784 V
2017-10-11T00:00:00-06:00,483.65671641791045 V
2017-10-12T00:00:00-06:00,485.0975609756098 V
2017-10-13T00:00:00-06:00,484.89247311827955 V
2017-10-14T00:00:00-06:00,485.65625 V
2017-10-15T00:00:00-06:00,485.9791666666667 V
2017-10-16T00:00:00-06:00,485.4791666666667 V
2017-10-17T00:00:00-06:00,484.1979166666667 V
2017-10-18T00:00:00-06:00,483.7291666666667 V
2017-10-19T00:00:00-06:00,484.3125 V
2017-10-20T00:00:00-06:00,484.06382978723406 V
2017-10-21T00:00:00-06:00,485.5729166666667 V
2017-10-22T00:00:00-06:00,485.5208333333333 V
2017-10-23T00:00:00-06:00,484.1354166666667 V
2017-10-24T00:00:00-06:00,484.0104166666667 V
2017-10-25T00:00:00-06:00,483.9375 V
2017-10-26T00:00:00-06:00,484.2631578947368 V
2017-10-27T00:00:00-06:00,484.46875 V
2017-10-28T00:00:00-06:00,483.94736842105266 V
2017-10-29T00:00:00-06:00,484.3958333333333 V
2017-10-30T00:00:00-06:00,485.7083333333333 V
2017-10-31T00:00:00-06:00,485.33684210526314 V
2017-11-01T00:00:00-06:00,484.09473684210525 V
2017-11-02T00:00:00-06:00,483.8510638297872 V
2017-11-03T00:00:00-06:00,484.18279569892474 V
2017-11-04T00:00:00-06:00,485.69473684210527 V
2017-11-05T00:00:00-06:00,485.89 V
2017-11-06T00:00:00-07:00,485.8315789473684 V
2017-11-07T00:00:00-07:00,485.9255319148936 V
2017-11-08T00:00:00-07:00,485.86170212765956 V
2017-11-09T00:00:00-07:00,486.09375 V
2017-11-10T00:00:00-07:00,486.22105263157897 V
2017-11-11T00:00:00-07:00,485.71875 V
2017-11-12T00:00:00-07:00,485.94736842105266 V
2017-11-13T00:00:00-07:00,486.0315789473684 V
2017-11-14T00:00:00-07:00,487.2291666666667 V
2017-11-15T00:00:00-07:00,486.3958333333333 V
2017-11-16T00:00:00-07:00,484.3645833333333 V
2017-11-17T00:00:00-07:00,485.93684210526317 V
2017-11-18T00:00:00-07:00,486.0625 V
2017-11-19T00:00:00-07:00,486.1354166666667 V
2017-11-20T00:00:00-07:00,485.0625 V
2017-11-21T00:00:00-07:00,484.1979166666667 V
2017-11-22T00:00:00-07:00,484.8020833333333 V
2017-11-23T00:00:00-07:00,486.5625 V
2017-11-24T00:00:00-07:00,485.9148936170213 V
2017-11-25T00:00:00-07:00,486.3333333333333 V
2017-11-26T00:00:00-07:00,486.2291666666667 V
2017-11-27T00:00:00-07:00,484.53125 V
2017-11-28T00:00:00-07:00,486.1770833333333 V
2017-11-29T00:00:00-07:00,486.7578947368421 V
2017-11-30T00:00:00-07:00,487.05263157894734 V
2017-12-01T00:00:00-07:00,486.03125 V
2017-12-02T00:00:00-07:00,486.1041666666667 V
2017-12-03T00:00:00-07:00,486.5625 V
2017-12-04T00:00:00-07:00,486.88421052631577 V
2017-12-05T00:00:00-07:00,486.3958333333333 V
2017-12-06T00:00:00-07:00,485.25 V
2017-12-07T00:00:00-07:00,485.3333333333333 V
2017-12-08T00:00:00-07:00,485.5625 V
2017-12-09T00:00:00-07:00,486.7604166666667 V
2017-12-10T00:00:00-07:00,486.6458333333333 V
2017-12-11T00:00:00-07:00,486.40625 V
2017-12-12T00:00:00-07:00,485.8125 V
2017-12-13T00:00:00-07:00,487.0416666666667 V
2017-12-14T00:00:00-07:00,485.9375 V
2017-12-15T00:00:00-07:00,485.3958333333333 V
2017-12-16T00:00:00-07:00,486.59375 V
2017-12-17T00:00:00-07:00,486.625 V
2017-12-18T00:00:00-07:00,486.85714285714283 V
2017-12-19T00:00:00-07:00,486.71875 V
2017-12-20T00:00:00-07:00,486.4479166666667 V
2017-12-21T00:00:00-07:00,485.6041666666667 V
2017-12-22T00:00:00-07:00,486.7083333333333 V
2017-12-23T00:00:00-07:00,486.2708333333333 V
2017-12-24T00:00:00-07:00,487.0625 V
2017-12-25T00:00:00-07:00,486.6875 V
2017-12-26T00:00:00-07:00,486.6875 V
2017-12-27T00:00:00-07:00,486.6666666666667 V
2017-12-28T00:00:00-07:00,486.6041666666667 V
2017-12-29T00:00:00-07:00,486.2659574468085 V
2017-12-30T00:00:00-07:00,486.4895833333333 V
2017-12-31T00:00:00-07:00,486.4270833333333 V
