Timestamp,['1e71be5d-2dc0f8e7 0040-STUDENT SERVICES BLDG Power Meter (300089) Current C']
2017-01-01T00:00:00-07:00,369.19090334574383 A
2017-01-02T00:00:00-07:00,374.13394260406494 A
2017-01-03T00:00:00-07:00,409.26478513081867 A
2017-01-04T00:00:00-07:00,410.5541067123413 A
2017-01-05T00:00:00-07:00,405.0281289418538 A
2017-01-06T00:00:00-07:00,418.1600751876831 A
2017-01-07T00:00:00-07:00,375.09307352701825 A
2017-01-08T00:00:00-07:00,395.0375684102376 A
2017-01-09T00:00:00-07:00,440.7643283208211 A
2017-01-10T00:00:00-07:00,439.46539878845215 A
2017-01-11T00:00:00-07:00,444.1627492904663 A
2017-01-12T00:00:00-07:00,442.15074920654297 A
2017-01-13T00:00:00-07:00,442.8285566965739 A
2017-01-14T00:00:00-07:00,394.6857951482137 A
2017-01-15T00:00:00-07:00,391.88489119211835 A
2017-01-16T00:00:00-07:00,380.5367139180501 A
2017-01-17T00:00:00-07:00,418.8188206354777 A
2017-01-18T00:00:00-07:00,410.3059509277344 A
2017-01-19T00:00:00-07:00,424.5886564254761 A
2017-01-20T00:00:00-07:00,421.1145086288452 A
2017-01-21T00:00:00-07:00,379.0379107793172 A
2017-01-22T00:00:00-07:00,383.01230843861896 A
2017-01-23T00:00:00-07:00,412.48706309000653 A
2017-01-24T00:00:00-07:00,421.4052022298177 A
2017-01-25T00:00:00-07:00,426.82739130655926 A
2017-01-26T00:00:00-07:00,424.8285617828369 A
2017-01-27T00:00:00-07:00,424.53688462575275 A
2017-01-28T00:00:00-07:00,373.62711175282794 A
2017-01-29T00:00:00-07:00,375.65909639994305 A
2017-01-30T00:00:00-07:00,435.2883523305257 A
2017-01-31T00:00:00-07:00,432.28826491038006 A
2017-02-01T00:00:00-07:00,433.4802811940511 A
2017-02-02T00:00:00-07:00,427.14921792348224 A
2017-02-03T00:00:00-07:00,433.18673809504105 A
2017-02-07T00:00:00-07:00,443.13713821710326 A
2017-02-08T00:00:00-07:00,429.1552141168144 A
2017-02-09T00:00:00-07:00,448.67505677541095 A
2017-02-10T00:00:00-07:00,445.73080762227374 A
2017-02-11T00:00:00-07:00,388.74841690063477 A
2017-02-12T00:00:00-07:00,383.0704752604167 A
2017-02-13T00:00:00-07:00,431.53125762939453 A
2017-02-14T00:00:00-07:00,428.3858636220296 A
2017-02-15T00:00:00-07:00,429.18867588043213 A
2017-02-16T00:00:00-07:00,439.8060293197632 A
2017-02-17T00:00:00-07:00,432.9959897994995 A
2017-02-18T00:00:00-07:00,391.6968768437703 A
2017-02-19T00:00:00-07:00,390.31807867685956 A
2017-02-20T00:00:00-07:00,401.0815598169963 A
2017-02-21T00:00:00-07:00,438.92555809020996 A
2017-02-22T00:00:00-07:00,434.7537072499593 A
2017-02-23T00:00:00-07:00,435.93656794230145 A
2017-02-24T00:00:00-07:00,421.84095646784857 A
2017-02-25T00:00:00-07:00,392.7604570388794 A
2017-02-26T00:00:00-07:00,393.41443093617755 A
2017-02-27T00:00:00-07:00,439.681523958842 A
2017-02-28T00:00:00-07:00,437.41925048828125 A
2017-03-01T00:00:00-07:00,435.52328904469806 A
2017-03-02T00:00:00-07:00,435.0183512369792 A
2017-03-03T00:00:00-07:00,437.13772807874176 A
2017-03-04T00:00:00-07:00,401.5191348393758 A
2017-03-05T00:00:00-07:00,398.9992141723633 A
2017-03-06T00:00:00-07:00,433.6883433659871 A
2017-03-07T00:00:00-07:00,434.6318778991699 A
2017-03-08T00:00:00-07:00,445.5442066192627 A
2017-03-09T00:00:00-07:00,451.9043785730998 A
2017-03-10T00:00:00-07:00,458.674932161967 A
2017-03-11T00:00:00-07:00,426.82783190409344 A
2017-03-12T00:00:00-07:00,419.2893146017323 A
2017-03-13T00:00:00-06:00,488.4513692855835 A
2017-03-14T00:00:00-06:00,539.2164233525594 A
2017-03-15T00:00:00-06:00,619.7754742304484 A
2017-03-16T00:00:00-06:00,661.1868286132812 A
2017-03-17T00:00:00-06:00,623.2660074234009 A
2017-03-18T00:00:00-06:00,593.3214639027914 A
2017-03-19T00:00:00-06:00,577.1730168660482 A
2017-03-20T00:00:00-06:00,653.9209356307983 A
2017-03-21T00:00:00-06:00,656.8235117594401 A
2017-03-22T00:00:00-06:00,637.2750562032064 A
2017-03-23T00:00:00-06:00,490.36063226064044 A
2017-03-24T00:00:00-06:00,530.7968613306681 A
2017-03-25T00:00:00-06:00,469.1412817637126 A
2017-03-26T00:00:00-06:00,459.0456190109253 A
2017-03-27T00:00:00-06:00,500.5508146286011 A
2017-03-28T00:00:00-06:00,510.62249692281085 A
2017-03-29T00:00:00-06:00,472.4220733642578 A
2017-03-30T00:00:00-06:00,458.9605760362413 A
2017-03-31T00:00:00-06:00,464.6182800928752 A
2017-04-01T00:00:00-06:00,463.6187283198039 A
2017-04-02T00:00:00-06:00,406.7508420944214 A
2017-04-03T00:00:00-06:00,443.66513538360596 A
2017-04-04T00:00:00-06:00,436.7313241958618 A
2017-04-05T00:00:00-06:00,486.33266894022626 A
2017-04-06T00:00:00-06:00,526.3095184961954 A
2017-04-07T00:00:00-06:00,604.1141640345255 A
2017-04-08T00:00:00-06:00,444.99491755167645 A
2017-04-09T00:00:00-06:00,391.44719314575195 A
2017-04-10T00:00:00-06:00,502.47944418589276 A
2017-04-11T00:00:00-06:00,539.7729552586874 A
2017-04-12T00:00:00-06:00,577.7028802235922 A
2017-04-13T00:00:00-06:00,634.4671678543091 A
2017-04-14T00:00:00-06:00,477.71459643046063 A
2017-04-15T00:00:00-06:00,423.46593443552655 A
2017-04-16T00:00:00-06:00,500.4263331095378 A
2017-04-17T00:00:00-06:00,599.7616815567017 A
2017-04-18T00:00:00-06:00,575.8297189076742 A
2017-04-19T00:00:00-06:00,527.5119222005209 A
2017-04-20T00:00:00-06:00,484.2203321456909 A
2017-04-21T00:00:00-06:00,444.9780511856079 A
2017-04-22T00:00:00-06:00,495.61564954121906 A
2017-04-23T00:00:00-06:00,518.0331713358561 A
2017-04-24T00:00:00-06:00,462.6612458881579 A
2017-04-25T00:00:00-06:00,445.9779535929362 A
2017-04-26T00:00:00-06:00,464.84330145517987 A
2017-04-27T00:00:00-06:00,444.8951498667399 A
2017-04-28T00:00:00-06:00,436.01197242736816 A
2017-04-29T00:00:00-06:00,405.16364828745526 A
2017-04-30T00:00:00-06:00,487.0190289815267 A
2017-05-01T00:00:00-06:00,561.6015249888102 A
2017-05-02T00:00:00-06:00,570.352320988973 A
2017-05-03T00:00:00-06:00,573.0598684946696 A
2017-05-04T00:00:00-06:00,614.5604101816813 A
2017-05-05T00:00:00-06:00,677.6817887624105 A
2017-05-06T00:00:00-06:00,637.6273231506348 A
2017-05-07T00:00:00-06:00,611.6544125874838 A
2017-05-08T00:00:00-06:00,660.5617249806722 A
2017-05-09T00:00:00-06:00,653.5781968434652 A
2017-05-10T00:00:00-06:00,656.7157071431478 A
2017-05-11T00:00:00-06:00,663.5238265991211 A
2017-05-12T00:00:00-06:00,676.3795185089111 A
2017-05-13T00:00:00-06:00,473.4857597351074 A
2017-05-14T00:00:00-06:00,511.77206293741864 A
2017-05-15T00:00:00-06:00,630.9491033554077 A
2017-05-16T00:00:00-06:00,583.3257284164429 A
2017-05-17T00:00:00-06:00,456.41602261861163 A
2017-05-18T00:00:00-06:00,438.65308475494385 A
2017-05-19T00:00:00-06:00,498.5535306930542 A
2017-05-20T00:00:00-06:00,522.6354557673136 A
2017-05-21T00:00:00-06:00,565.8842741648356 A
2017-05-22T00:00:00-06:00,611.7496061325073 A
2017-05-23T00:00:00-06:00,656.200193385074 A
2017-05-24T00:00:00-06:00,680.9271170298258 A
2017-05-25T00:00:00-06:00,655.6306419372559 A
2017-05-26T00:00:00-06:00,639.9819469451904 A
2017-05-27T00:00:00-06:00,525.7407994320519 A
2017-05-28T00:00:00-06:00,586.6685924530029 A
2017-05-29T00:00:00-06:00,612.2037436167399 A
2017-05-30T00:00:00-06:00,680.3503437042236 A
2017-05-31T00:00:00-06:00,695.0769131978353 A
2017-06-01T00:00:00-06:00,690.6992982228597 A
2017-06-02T00:00:00-06:00,675.9789950052897 A
2017-06-03T00:00:00-06:00,636.7562395731608 A
2017-06-04T00:00:00-06:00,651.5767765045166 A
2017-06-05T00:00:00-06:00,702.0811398824056 A
2017-06-06T00:00:00-06:00,702.7050393422445 A
2017-06-07T00:00:00-06:00,715.62233543396 A
2017-06-08T00:00:00-06:00,709.8664989471436 A
2017-06-09T00:00:00-06:00,693.1450532277426 A
2017-06-10T00:00:00-06:00,604.7761414845785 A
2017-06-11T00:00:00-06:00,615.027951558431 A
2017-06-12T00:00:00-06:00,632.5041465759277 A
2017-06-13T00:00:00-06:00,545.0156269073486 A
2017-06-14T00:00:00-06:00,669.713742574056 A
2017-06-15T00:00:00-06:00,678.8896656036377 A
2017-06-16T00:00:00-06:00,693.5113779703776 A
2017-06-17T00:00:00-06:00,628.8756507237753 A
2017-06-18T00:00:00-06:00,582.3672873179117 A
2017-06-19T00:00:00-06:00,679.1308409372965 A
2017-06-20T00:00:00-06:00,720.7919241587321 A
2017-06-21T00:00:00-06:00,718.9857381184896 A
2017-06-22T00:00:00-06:00,705.0340099334717 A
2017-06-23T00:00:00-06:00,684.6955808003744 A
2017-06-24T00:00:00-06:00,643.3283093770345 A
2017-06-25T00:00:00-06:00,655.4117234547933 A
2017-06-26T00:00:00-06:00,716.7689208984375 A
2017-06-27T00:00:00-06:00,718.6265048980713 A
2017-06-28T00:00:00-06:00,709.6322803497314 A
2017-06-29T00:00:00-06:00,699.9245414733887 A
2017-06-30T00:00:00-06:00,700.8704306284586 A
2017-07-01T00:00:00-06:00,650.765651067098 A
2017-07-02T00:00:00-06:00,661.5045458475748 A
2017-07-03T00:00:00-06:00,701.213586807251 A
2017-07-04T00:00:00-06:00,627.5919647216797 A
2017-07-05T00:00:00-06:00,688.1870657602946 A
2017-07-06T00:00:00-06:00,706.2210680643717 A
2017-07-07T00:00:00-06:00,740.5566323598226 A
2017-07-08T00:00:00-06:00,685.3921648661295 A
2017-07-09T00:00:00-06:00,680.9040247599283 A
2017-07-10T00:00:00-06:00,743.1790663401285 A
2017-07-11T00:00:00-06:00,737.2589492797852 A
2017-07-12T00:00:00-06:00,730.3692696889242 A
2017-07-13T00:00:00-06:00,730.2180913289388 A
2017-07-14T00:00:00-06:00,726.1379241943359 A
2017-07-15T00:00:00-06:00,678.4282468159994 A
2017-07-16T00:00:00-06:00,680.2346223195394 A
2017-07-17T00:00:00-06:00,730.6026954650879 A
2017-07-18T00:00:00-06:00,743.6452624003092 A
2017-07-19T00:00:00-06:00,752.4624780019125 A
2017-07-20T00:00:00-06:00,751.7937126159668 A
2017-07-21T00:00:00-06:00,739.1846777598063 A
2017-07-22T00:00:00-06:00,681.293285369873 A
2017-07-23T00:00:00-06:00,671.0377356211344 A
2017-07-24T00:00:00-06:00,696.8993072509766 A
2017-07-25T00:00:00-06:00,744.6621271769205 A
2017-07-26T00:00:00-06:00,748.4306844075521 A
2017-07-27T00:00:00-06:00,723.4394461313883 A
2017-07-28T00:00:00-06:00,714.125696182251 A
2017-07-29T00:00:00-06:00,664.7809092203776 A
2017-07-30T00:00:00-06:00,666.9552256266276 A
2017-07-31T00:00:00-06:00,733.0128739674886 A
2017-08-01T00:00:00-06:00,736.3917528788248 A
2017-08-02T00:00:00-06:00,735.8975639343262 A
2017-08-03T00:00:00-06:00,737.8552519480387 A
2017-08-04T00:00:00-06:00,731.5363125643887 A
2017-08-05T00:00:00-06:00,678.760373433431 A
2017-08-06T00:00:00-06:00,666.8818244934082 A
2017-08-07T00:00:00-06:00,723.6638514200846 A
2017-08-08T00:00:00-06:00,713.449800491333 A
2017-08-09T00:00:00-06:00,714.4042231241862 A
2017-08-10T00:00:00-06:00,712.6654611141124 A
2017-08-11T00:00:00-06:00,727.0516440073649 A
2017-08-12T00:00:00-06:00,674.4737777709961 A
2017-08-13T00:00:00-06:00,674.2885220845541 A
2017-08-14T00:00:00-06:00,719.598606745402 A
2017-08-15T00:00:00-06:00,702.2960440317789 A
2017-08-16T00:00:00-06:00,692.722272237142 A
2017-08-17T00:00:00-06:00,690.5906613667806 A
2017-08-18T00:00:00-06:00,708.4337946573893 A
2017-08-19T00:00:00-06:00,665.29509862264 A
2017-08-20T00:00:00-06:00,669.8223298390707 A
2017-08-21T00:00:00-06:00,726.0207716623942 A
2017-08-22T00:00:00-06:00,723.9049307505289 A
2017-08-23T00:00:00-06:00,693.563972155253 A
2017-08-24T00:00:00-06:00,643.6495119730631 A
2017-08-25T00:00:00-06:00,711.1597054799398 A
2017-08-26T00:00:00-06:00,660.2342249552408 A
2017-08-27T00:00:00-06:00,655.156654993693 A
2017-08-28T00:00:00-06:00,721.2001168387277 A
2017-08-29T00:00:00-06:00,711.4020779517389 A
2017-08-30T00:00:00-06:00,704.2303276062012 A
2017-08-31T00:00:00-06:00,691.6807448069254 A
2017-09-01T00:00:00-06:00,689.3349126180013 A
2017-09-02T00:00:00-06:00,637.0463692347208 A
2017-09-03T00:00:00-06:00,635.9076131184896 A
2017-09-04T00:00:00-06:00,654.6530993779501 A
2017-09-05T00:00:00-06:00,693.7155373891195 A
2017-09-06T00:00:00-06:00,693.0464734529194 A
2017-09-07T00:00:00-06:00,688.287036895752 A
2017-09-08T00:00:00-06:00,678.2777222978308 A
2017-09-09T00:00:00-06:00,624.240600903829 A
2017-09-10T00:00:00-06:00,619.0400482813517 A
2017-09-11T00:00:00-06:00,681.2673721313477 A
2017-09-12T00:00:00-06:00,680.4674173990885 A
2017-09-13T00:00:00-06:00,676.4898490905762 A
2017-09-14T00:00:00-06:00,660.422745068868 A
2017-09-15T00:00:00-06:00,645.7200136184692 A
2017-09-16T00:00:00-06:00,544.3850123087565 A
2017-09-17T00:00:00-06:00,567.2492316563925 A
2017-09-18T00:00:00-06:00,684.9768184026083 A
2017-09-19T00:00:00-06:00,590.2515312830607 A
2017-09-20T00:00:00-06:00,585.284008026123 A
2017-09-21T00:00:00-06:00,536.9229818979899 A
2017-09-22T00:00:00-06:00,436.2131071090698 A
2017-09-23T00:00:00-06:00,393.4190082550049 A
2017-09-24T00:00:00-06:00,391.7594731648763 A
2017-09-25T00:00:00-06:00,500.0011297861735 A
2017-09-26T00:00:00-06:00,528.519188489412 A
2017-09-27T00:00:00-06:00,589.8328634897867 A
2017-09-28T00:00:00-06:00,612.2400051752726 A
2017-09-29T00:00:00-06:00,623.3374512990316 A
2017-09-30T00:00:00-06:00,563.4105262756348 A
2017-10-01T00:00:00-06:00,441.16494140625 A
2017-10-02T00:00:00-06:00,431.9485263824463 A
2017-10-03T00:00:00-06:00,499.93629296620685 A
2017-10-04T00:00:00-06:00,578.1911741892496 A
2017-10-05T00:00:00-06:00,502.81346949527136 A
2017-10-06T00:00:00-06:00,504.49746831258136 A
2017-10-07T00:00:00-06:00,507.98416900634766 A
2017-10-08T00:00:00-06:00,415.1453800201416 A
2017-10-09T00:00:00-06:00,450.61273288726807 A
2017-10-10T00:00:00-06:00,481.84823290507 A
2017-10-11T00:00:00-06:00,542.6970281600952 A
2017-10-12T00:00:00-06:00,486.26595878601074 A
2017-10-13T00:00:00-06:00,492.6078182856242 A
2017-10-14T00:00:00-06:00,387.91333897908527 A
2017-10-15T00:00:00-06:00,414.9975891113281 A
2017-10-16T00:00:00-06:00,489.880552927653 A
2017-10-17T00:00:00-06:00,527.5712213516235 A
2017-10-18T00:00:00-06:00,546.6791899998983 A
2017-10-19T00:00:00-06:00,567.2359507878622 A
2017-10-20T00:00:00-06:00,538.8920755386353 A
2017-10-21T00:00:00-06:00,387.82597255706787 A
2017-10-22T00:00:00-06:00,488.3666575749715 A
2017-10-23T00:00:00-06:00,540.680318514506 A
2017-10-24T00:00:00-06:00,501.8085632324219 A
2017-10-25T00:00:00-06:00,523.2148078282675 A
2017-10-26T00:00:00-06:00,451.818429629008 A
2017-10-27T00:00:00-06:00,438.7715018590291 A
2017-10-28T00:00:00-06:00,402.78046894073486 A
2017-10-29T00:00:00-06:00,407.02161439259845 A
2017-10-30T00:00:00-06:00,441.40972391764325 A
2017-10-31T00:00:00-06:00,435.39262676239014 A
2017-11-01T00:00:00-06:00,444.36730670928955 A
2017-11-02T00:00:00-06:00,449.84012444814044 A
2017-11-03T00:00:00-06:00,445.1498276392619 A
2017-11-04T00:00:00-06:00,402.03897285461426 A
2017-11-05T00:00:00-06:00,386.6547912597656 A
2017-11-06T00:00:00-07:00,429.6321678161621 A
2017-11-07T00:00:00-07:00,430.8779983520508 A
2017-11-08T00:00:00-07:00,432.46667671203613 A
2017-11-09T00:00:00-07:00,434.8645893732707 A
2017-11-10T00:00:00-07:00,430.6927134195964 A
2017-11-11T00:00:00-07:00,389.7548650105794 A
2017-11-12T00:00:00-07:00,389.6694507598877 A
2017-11-13T00:00:00-07:00,435.1585776011149 A
2017-11-14T00:00:00-07:00,437.7204713821411 A
2017-11-15T00:00:00-07:00,439.245854695638 A
2017-11-16T00:00:00-07:00,447.0869967142741 A
2017-11-17T00:00:00-07:00,429.06303056081134 A
2017-11-18T00:00:00-07:00,248.9891165892283 A
2017-11-19T00:00:00-07:00,174.15087993939719 A
2017-11-20T00:00:00-07:00,217.89075843493143 A
2017-11-21T00:00:00-07:00,219.51947736740112 A
2017-11-22T00:00:00-07:00,214.77484027544656 A
2017-11-23T00:00:00-07:00,185.31020863850912 A
2017-11-24T00:00:00-07:00,183.57025599479675 A
2017-11-25T00:00:00-07:00,174.61467679341635 A
2017-11-26T00:00:00-07:00,177.9312667051951 A
2017-11-27T00:00:00-07:00,216.48873074849448 A
2017-11-28T00:00:00-07:00,217.25520435969034 A
2017-11-29T00:00:00-07:00,307.4875666300456 A
2017-11-30T00:00:00-07:00,429.70108350118 A
2017-12-01T00:00:00-07:00,423.774450302124 A
2017-12-02T00:00:00-07:00,386.08988030751544 A
2017-12-03T00:00:00-07:00,388.00553798675537 A
2017-12-04T00:00:00-07:00,434.08582433064777 A
2017-12-05T00:00:00-07:00,430.93530972798663 A
2017-12-06T00:00:00-07:00,434.7666079203288 A
2017-12-07T00:00:00-07:00,436.2026119232178 A
2017-12-08T00:00:00-07:00,433.64748096466064 A
2017-12-09T00:00:00-07:00,392.35652955373126 A
2017-12-10T00:00:00-07:00,391.48017088572186 A
2017-12-11T00:00:00-07:00,437.00895436604816 A
2017-12-12T00:00:00-07:00,437.1819559733073 A
2017-12-13T00:00:00-07:00,442.0365473429362 A
2017-12-14T00:00:00-07:00,438.3662220637004 A
2017-12-15T00:00:00-07:00,425.2966225941976 A
2017-12-16T00:00:00-07:00,390.27506891886395 A
2017-12-17T00:00:00-07:00,390.0575126012166 A
2017-12-18T00:00:00-07:00,431.5127688172043 A
2017-12-19T00:00:00-07:00,432.5246524810791 A
2017-12-20T00:00:00-07:00,427.38130283355713 A
2017-12-21T00:00:00-07:00,442.7008679707845 A
2017-12-22T00:00:00-07:00,428.33235931396484 A
2017-12-23T00:00:00-07:00,397.32327969868976 A
2017-12-24T00:00:00-07:00,404.8607317606608 A
2017-12-25T00:00:00-07:00,394.97441482543945 A
2017-12-26T00:00:00-07:00,395.69864209493 A
2017-12-27T00:00:00-07:00,424.0558436711629 A
2017-12-28T00:00:00-07:00,421.1820999781291 A
2017-12-29T00:00:00-07:00,391.6259822845459 A
2017-12-30T00:00:00-07:00,384.6727244059245 A
2017-12-31T00:00:00-07:00,383.15850416819256 A
