Timestamp,['203a2637-3272d936 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Current A']
2017-02-17T00:00:00-07:00,398.9633953696803 A
2017-02-18T00:00:00-07:00,339.3838508923848 A
2017-02-19T00:00:00-07:00,252.64572779337564 A
2017-02-20T00:00:00-07:00,286.6060474354734 A
2017-02-21T00:00:00-07:00,315.9332567850749 A
2017-02-22T00:00:00-07:00,297.110489209493 A
2017-02-23T00:00:00-07:00,295.4149700800578 A
2017-02-24T00:00:00-07:00,279.36847599850427 A
2017-02-25T00:00:00-07:00,291.5867916742961 A
2017-02-26T00:00:00-07:00,255.1171762148539 A
2017-02-27T00:00:00-07:00,283.512357711792 A
2017-02-28T00:00:00-07:00,288.92650588353473 A
2017-03-01T00:00:00-07:00,286.3974741299947 A
2017-03-02T00:00:00-07:00,298.9576956431071 A
2017-03-03T00:00:00-07:00,308.03901386260986 A
2017-03-04T00:00:00-07:00,283.0623416900635 A
2017-03-05T00:00:00-07:00,250.27238957087198 A
2017-03-06T00:00:00-07:00,287.56425460179645 A
2017-03-07T00:00:00-07:00,298.48800722757977 A
2017-03-08T00:00:00-07:00,310.13383134206134 A
2017-03-09T00:00:00-07:00,327.51336574554443 A
2017-03-10T00:00:00-07:00,327.30499569574994 A
2017-03-11T00:00:00-07:00,287.79396804173786 A
2017-03-12T00:00:00-07:00,236.9751955115277 A
2017-03-13T00:00:00-06:00,276.09928290049237 A
2017-03-14T00:00:00-06:00,289.80289602279663 A
2017-03-15T00:00:00-06:00,292.0382803281148 A
2017-03-16T00:00:00-06:00,313.434522151947 A
2017-03-17T00:00:00-06:00,373.0694459279378 A
2017-03-18T00:00:00-06:00,361.8090337117513 A
2017-03-19T00:00:00-06:00,308.17916536331177 A
2017-03-20T00:00:00-06:00,394.6051462491353 A
2017-03-21T00:00:00-06:00,417.32875601450604 A
2017-03-22T00:00:00-06:00,380.3399375279744 A
2017-03-23T00:00:00-06:00,335.05839188893634 A
2017-03-24T00:00:00-06:00,360.0860006014506 A
2017-03-25T00:00:00-06:00,321.7811099688212 A
2017-03-26T00:00:00-06:00,245.84925762812296 A
2017-03-27T00:00:00-06:00,329.23159710566205 A
2017-03-28T00:00:00-06:00,356.53715562820435 A
2017-03-29T00:00:00-06:00,353.40840403238934 A
2017-03-30T00:00:00-06:00,464.32560085720485 A
2017-03-31T00:00:00-06:00,358.8167095184326 A
2017-04-01T00:00:00-06:00,387.6643837292989 A
2017-04-02T00:00:00-06:00,259.76607688268024 A
2017-04-03T00:00:00-06:00,353.1410113970439 A
2017-04-04T00:00:00-06:00,326.57599544525146 A
2017-04-05T00:00:00-06:00,379.14572048187256 A
2017-04-06T00:00:00-06:00,393.9434413909912 A
2017-04-07T00:00:00-06:00,398.4077065785726 A
2017-04-08T00:00:00-06:00,336.55516242980957 A
2017-04-09T00:00:00-06:00,248.63881540298462 A
2017-04-10T00:00:00-06:00,335.3127549489339 A
2017-04-11T00:00:00-06:00,343.02395979563397 A
2017-04-12T00:00:00-06:00,369.9918740590413 A
2017-04-13T00:00:00-06:00,388.85590775807697 A
2017-04-14T00:00:00-06:00,360.5234589576721 A
2017-04-15T00:00:00-06:00,316.5583283106486 A
2017-04-16T00:00:00-06:00,309.6643280982971 A
2017-04-17T00:00:00-06:00,365.6800971031189 A
2017-04-18T00:00:00-06:00,351.0787779490153 A
2017-04-19T00:00:00-06:00,345.72150897979736 A
2017-04-20T00:00:00-06:00,344.07641824086505 A
2017-04-21T00:00:00-06:00,325.26163816452026 A
2017-04-22T00:00:00-06:00,340.81252670288086 A
2017-04-23T00:00:00-06:00,328.67072041829425 A
2017-04-24T00:00:00-06:00,337.4543242454529 A
2017-04-25T00:00:00-06:00,326.74696493148804 A
2017-04-26T00:00:00-06:00,358.68815962473553 A
2017-04-27T00:00:00-06:00,353.1191595395406 A
2017-04-28T00:00:00-06:00,351.4405097961426 A
2017-04-29T00:00:00-06:00,392.0177108446757 A
2017-04-30T00:00:00-06:00,322.3764049212138 A
2017-05-01T00:00:00-06:00,397.62975454330444 A
2017-05-02T00:00:00-06:00,417.2083724339803 A
2017-05-03T00:00:00-06:00,420.61304903030396 A
2017-05-04T00:00:00-06:00,418.75302839279175 A
2017-05-05T00:00:00-06:00,428.01250489552814 A
2017-05-06T00:00:00-06:00,382.92518949508667 A
2017-05-07T00:00:00-06:00,296.40062681833905 A
2017-05-08T00:00:00-06:00,373.56738090515137 A
2017-05-09T00:00:00-06:00,386.1849357287089 A
2017-05-10T00:00:00-06:00,399.8512609799703 A
2017-05-11T00:00:00-06:00,387.48049275080365 A
2017-05-12T00:00:00-06:00,398.79490900039673 A
2017-05-13T00:00:00-06:00,347.0015031496684 A
2017-05-14T00:00:00-06:00,274.36885992685956 A
2017-05-15T00:00:00-06:00,376.72954845428467 A
2017-05-16T00:00:00-06:00,351.91448942820233 A
2017-05-17T00:00:00-06:00,328.0163157780965 A
2017-05-18T00:00:00-06:00,316.45380957921344 A
2017-05-19T00:00:00-06:00,333.2290892601013 A
2017-05-20T00:00:00-06:00,362.9097326596578 A
2017-05-21T00:00:00-06:00,306.40914074579877 A
2017-05-22T00:00:00-06:00,341.91918961207074 A
2017-05-23T00:00:00-06:00,338.75466839472455 A
2017-05-24T00:00:00-06:00,330.3485333124797 A
2017-05-25T00:00:00-06:00,305.0230983098348 A
2017-05-26T00:00:00-06:00,283.70170736312866 A
2017-05-27T00:00:00-06:00,276.3331108093262 A
2017-05-28T00:00:00-06:00,293.9617132889597 A
2017-05-29T00:00:00-06:00,289.72558705012005 A
2017-05-30T00:00:00-06:00,329.2830117543538 A
2017-05-31T00:00:00-06:00,353.3107180595398 A
2017-06-01T00:00:00-06:00,340.255738735199 A
2017-06-02T00:00:00-06:00,331.420121828715 A
2017-06-03T00:00:00-06:00,313.8721995353699 A
2017-06-04T00:00:00-06:00,324.4510877927144 A
2017-06-05T00:00:00-06:00,347.23531738917035 A
2017-06-06T00:00:00-06:00,342.83618275324505 A
2017-06-07T00:00:00-06:00,353.82049735387164 A
2017-06-08T00:00:00-06:00,345.48330847422284 A
2017-06-09T00:00:00-06:00,326.04753573735553 A
2017-06-10T00:00:00-06:00,293.6713374087685 A
2017-06-11T00:00:00-06:00,305.33475081125897 A
2017-06-12T00:00:00-06:00,293.4114707310994 A
2017-06-13T00:00:00-06:00,269.80591440200806 A
2017-06-14T00:00:00-06:00,312.255859375 A
2017-06-15T00:00:00-06:00,343.64175844192505 A
2017-06-16T00:00:00-06:00,376.63532463709515 A
2017-06-17T00:00:00-06:00,335.5614101092021 A
2017-06-18T00:00:00-06:00,298.1710680325826 A
2017-06-19T00:00:00-06:00,346.36476373672485 A
2017-06-20T00:00:00-06:00,387.5794035593669 A
2017-06-21T00:00:00-06:00,380.27716541290283 A
2017-06-22T00:00:00-06:00,348.6465220451355 A
2017-06-23T00:00:00-06:00,343.4965515136719 A
2017-06-24T00:00:00-06:00,325.1849465370178 A
2017-06-25T00:00:00-06:00,334.8797966639201 A
2017-06-26T00:00:00-06:00,375.3076858520508 A
2017-06-27T00:00:00-06:00,359.0342839558919 A
2017-06-28T00:00:00-06:00,351.7233606974284 A
2017-06-29T00:00:00-06:00,350.41570440928143 A
2017-06-30T00:00:00-06:00,345.81934356689453 A
2017-07-01T00:00:00-06:00,332.1408859888713 A
2017-07-02T00:00:00-06:00,329.90169461568195 A
2017-07-03T00:00:00-06:00,374.33998314539593 A
2017-07-04T00:00:00-06:00,352.10353231430054 A
2017-07-05T00:00:00-06:00,378.37643273671466 A
2017-07-06T00:00:00-06:00,364.3803227742513 A
2017-07-07T00:00:00-06:00,371.4112505912781 A
2017-07-08T00:00:00-06:00,353.37393347422284 A
2017-07-09T00:00:00-06:00,342.8607080777486 A
2017-07-10T00:00:00-06:00,360.16529909769696 A
2017-07-11T00:00:00-06:00,361.2389709154765 A
2017-07-12T00:00:00-06:00,356.68446016311646 A
2017-07-13T00:00:00-06:00,376.2743525505066 A
2017-07-14T00:00:00-06:00,375.7943844795227 A
2017-07-15T00:00:00-06:00,321.8330044746399 A
2017-07-16T00:00:00-06:00,307.41042248408 A
2017-07-17T00:00:00-06:00,360.4632520675659 A
2017-07-18T00:00:00-06:00,380.33584928512573 A
2017-07-19T00:00:00-06:00,360.13066641489667 A
2017-07-20T00:00:00-06:00,341.45187028249103 A
2017-07-21T00:00:00-06:00,362.0213861465454 A
2017-07-22T00:00:00-06:00,333.9217971165975 A
2017-07-23T00:00:00-06:00,333.4862440427144 A
2017-07-24T00:00:00-06:00,335.65320269266766 A
2017-07-25T00:00:00-06:00,332.30755678812665 A
2017-07-26T00:00:00-06:00,356.9610578219096 A
2017-07-27T00:00:00-06:00,351.3775668144226 A
2017-07-28T00:00:00-06:00,351.7213322321574 A
2017-07-29T00:00:00-06:00,319.03817542394 A
2017-07-30T00:00:00-06:00,318.071640809377 A
2017-07-31T00:00:00-06:00,355.97502851486206 A
2017-08-01T00:00:00-06:00,354.5440591176351 A
2017-08-02T00:00:00-06:00,394.8511047363281 A
2017-08-03T00:00:00-06:00,389.59729226430255 A
2017-08-04T00:00:00-06:00,369.16929307874744 A
2017-08-05T00:00:00-06:00,330.35314146677655 A
2017-08-06T00:00:00-06:00,308.4932649930318 A
2017-08-07T00:00:00-06:00,347.18746010462445 A
2017-08-08T00:00:00-06:00,356.46407731374103 A
2017-08-09T00:00:00-06:00,374.09711297353107 A
2017-08-10T00:00:00-06:00,352.1377621914478 A
2017-08-11T00:00:00-06:00,384.3818728798314 A
2017-08-12T00:00:00-06:00,363.07257684071857 A
2017-08-13T00:00:00-06:00,329.09700123469037 A
2017-08-14T00:00:00-06:00,365.69617080688477 A
2017-08-15T00:00:00-06:00,362.531489054362 A
2017-08-16T00:00:00-06:00,371.81533940633136 A
2017-08-17T00:00:00-06:00,375.98422781626385 A
2017-08-18T00:00:00-06:00,389.218279838562 A
2017-08-19T00:00:00-06:00,352.496023495992 A
2017-08-20T00:00:00-06:00,369.2853078842163 A
2017-08-21T00:00:00-06:00,380.77799622217816 A
2017-08-22T00:00:00-06:00,395.71889273325604 A
2017-08-23T00:00:00-06:00,380.5412241617839 A
2017-08-24T00:00:00-06:00,390.5509813626607 A
2017-08-25T00:00:00-06:00,392.84972826639813 A
2017-08-26T00:00:00-06:00,373.87660280863446 A
2017-08-27T00:00:00-06:00,369.53809547424316 A
2017-08-28T00:00:00-06:00,417.14591316554856 A
2017-08-29T00:00:00-06:00,394.6995062058972 A
2017-08-30T00:00:00-06:00,381.7288185755412 A
2017-08-31T00:00:00-06:00,392.7641995747884 A
2017-09-01T00:00:00-06:00,378.747940381368 A
2017-09-02T00:00:00-06:00,342.58136383692425 A
2017-09-03T00:00:00-06:00,319.86804215113324 A
2017-09-04T00:00:00-06:00,345.1155055363973 A
2017-09-05T00:00:00-06:00,393.3460024197896 A
2017-09-06T00:00:00-06:00,402.0569798151652 A
2017-09-07T00:00:00-06:00,430.45648193359375 A
2017-09-08T00:00:00-06:00,443.73076126423285 A
2017-09-09T00:00:00-06:00,399.61691157023114 A
2017-09-10T00:00:00-06:00,354.5378195444743 A
2017-09-11T00:00:00-06:00,441.9484214782715 A
2017-09-12T00:00:00-06:00,453.4023793538411 A
2017-09-13T00:00:00-06:00,451.5239013036092 A
2017-09-14T00:00:00-06:00,442.2833089828491 A
2017-09-15T00:00:00-06:00,420.34131749471027 A
2017-09-16T00:00:00-06:00,424.9626105626424 A
2017-09-17T00:00:00-06:00,333.33633454640704 A
2017-09-18T00:00:00-06:00,423.2522974014282 A
2017-09-19T00:00:00-06:00,421.61875947316486 A
2017-09-20T00:00:00-06:00,433.263072013855 A
2017-09-21T00:00:00-06:00,421.5613873799642 A
2017-09-22T00:00:00-06:00,429.68651549021405 A
2017-09-23T00:00:00-06:00,412.1236000061035 A
2017-09-24T00:00:00-06:00,301.7336899439494 A
2017-09-25T00:00:00-06:00,397.1772708892822 A
2017-09-26T00:00:00-06:00,381.81689167022705 A
2017-09-27T00:00:00-06:00,410.7777395248413 A
2017-09-28T00:00:00-06:00,432.72411664326984 A
2017-09-29T00:00:00-06:00,418.49534765879315 A
2017-09-30T00:00:00-06:00,420.4830265045166 A
2017-10-01T00:00:00-06:00,292.3273730278015 A
2017-10-02T00:00:00-06:00,301.5586757659912 A
2017-10-03T00:00:00-06:00,331.96255079905194 A
2017-10-04T00:00:00-06:00,364.02571455637616 A
2017-10-05T00:00:00-06:00,339.64983797073364 A
2017-10-06T00:00:00-06:00,356.3942616780599 A
2017-10-07T00:00:00-06:00,314.06503709157306 A
2017-10-08T00:00:00-06:00,288.3168552716573 A
2017-10-09T00:00:00-06:00,263.15660095214844 A
2017-10-10T00:00:00-06:00,311.43785158793133 A
2017-10-11T00:00:00-06:00,321.94819863637287 A
2017-10-12T00:00:00-06:00,269.83055512110394 A
2017-10-13T00:00:00-06:00,303.1744219462077 A
2017-10-14T00:00:00-06:00,312.81821235020954 A
2017-10-15T00:00:00-06:00,228.0541297594706 A
2017-10-16T00:00:00-06:00,354.559387365977 A
2017-10-17T00:00:00-06:00,362.02308734258014 A
2017-10-18T00:00:00-06:00,350.4641391436259 A
2017-10-19T00:00:00-06:00,360.9155206680298 A
2017-10-20T00:00:00-06:00,322.6554036140442 A
2017-10-21T00:00:00-06:00,272.1632053057353 A
2017-10-22T00:00:00-06:00,233.60073335965475 A
2017-10-23T00:00:00-06:00,326.9694366455078 A
2017-10-24T00:00:00-06:00,306.72005971272785 A
2017-10-25T00:00:00-06:00,338.9970467885335 A
2017-10-26T00:00:00-06:00,314.22372500101727 A
2017-10-27T00:00:00-06:00,311.65661334991455 A
2017-10-28T00:00:00-06:00,307.41795921325684 A
2017-10-29T00:00:00-06:00,245.6077127456665 A
2017-10-30T00:00:00-06:00,323.131107489268 A
2017-10-31T00:00:00-06:00,289.74031194051105 A
2017-11-01T00:00:00-06:00,349.9529053370158 A
2017-11-02T00:00:00-06:00,349.5286906560262 A
2017-11-03T00:00:00-06:00,359.44359016418457 A
2017-11-04T00:00:00-06:00,343.47979736328125 A
2017-11-05T00:00:00-06:00,208.0657308959961 A
2017-11-06T00:00:00-07:00,286.74862988789874 A
2017-11-07T00:00:00-07:00,303.0213071505229 A
2017-11-08T00:00:00-07:00,299.35049788157147 A
2017-11-09T00:00:00-07:00,292.648428440094 A
2017-11-10T00:00:00-07:00,267.005356947581 A
2017-11-11T00:00:00-07:00,218.22900756200156 A
2017-11-12T00:00:00-07:00,253.8500633239746 A
2017-11-13T00:00:00-07:00,270.20388587315875 A
2017-11-14T00:00:00-07:00,269.8468403816223 A
2017-11-15T00:00:00-07:00,277.9023262659709 A
2017-11-16T00:00:00-07:00,336.6076035499573 A
2017-11-17T00:00:00-07:00,271.6643416086833 A
2017-11-18T00:00:00-07:00,262.27062861124676 A
2017-11-19T00:00:00-07:00,261.0714732805888 A
2017-11-20T00:00:00-07:00,272.28263632456463 A
2017-11-21T00:00:00-07:00,296.6346839269002 A
2017-11-22T00:00:00-07:00,311.67878699302673 A
2017-11-23T00:00:00-07:00,217.8549420038859 A
2017-11-24T00:00:00-07:00,318.7332132657369 A
2017-11-25T00:00:00-07:00,302.27626117070514 A
2017-11-26T00:00:00-07:00,259.3516818682353 A
2017-11-27T00:00:00-07:00,337.7440555890401 A
2017-11-28T00:00:00-07:00,336.8634349505107 A
2017-11-29T00:00:00-07:00,325.05064662297565 A
2017-11-30T00:00:00-07:00,337.5281639099121 A
2017-12-01T00:00:00-07:00,302.9684012730916 A
2017-12-02T00:00:00-07:00,319.4142511685689 A
2017-12-03T00:00:00-07:00,205.0606220563253 A
2017-12-04T00:00:00-07:00,282.80066363016766 A
2017-12-05T00:00:00-07:00,289.52337487538654 A
2017-12-06T00:00:00-07:00,315.53447310129803 A
2017-12-07T00:00:00-07:00,286.97121572494507 A
2017-12-08T00:00:00-07:00,281.36461385091144 A
2017-12-09T00:00:00-07:00,294.73879591623944 A
2017-12-10T00:00:00-07:00,193.7589438756307 A
2017-12-11T00:00:00-07:00,291.9384977022807 A
2017-12-12T00:00:00-07:00,276.07625404993695 A
2017-12-13T00:00:00-07:00,317.51155773798627 A
2017-12-14T00:00:00-07:00,297.2762044270833 A
2017-12-15T00:00:00-07:00,285.1522240638733 A
2017-12-16T00:00:00-07:00,301.9625210762024 A
2017-12-17T00:00:00-07:00,184.77391719818115 A
2017-12-18T00:00:00-07:00,287.0396443028604 A
2017-12-19T00:00:00-07:00,284.20174328486127 A
2017-12-20T00:00:00-07:00,312.03485774993896 A
2017-12-21T00:00:00-07:00,262.02947823206586 A
2017-12-22T00:00:00-07:00,258.61581484476727 A
2017-12-23T00:00:00-07:00,226.76162703831992 A
2017-12-24T00:00:00-07:00,186.86471954981485 A
2017-12-25T00:00:00-07:00,179.88099002838135 A
2017-12-26T00:00:00-07:00,185.74217462539673 A
2017-12-27T00:00:00-07:00,217.59067169825235 A
2017-12-28T00:00:00-07:00,204.87772512435913 A
2017-12-29T00:00:00-07:00,205.96971321105957 A
2017-12-30T00:00:00-07:00,193.92122920354208 A
2017-12-31T00:00:00-07:00,185.5363195737203 A
